ligand,receptor,TF
None,CD4,RUNX2
None,CD4,NR3C1
None,CD4,TBX21
None,CD4,ID3
None,CD4,STAT2
None,CD4,GATA1
None,CD4,HAND2
None,CD4,ATF2
None,CD4,FOS
None,CD4,HDAC5
None,CD4,TRAF6
None,CD4,NFAT5
None,CD4,BATF
None,CD4,FOXP3
None,CD4,ZNRD1
None,CD4,CRTC1
None,CD4,TBR1
None,CD4,RUNX1
None,CD4,MED15
None,CD4,NFKB2
None,CD4,IRF2
None,CD4,TNFAIP3
None,CD4,IRF9
None,CD4,TP53
None,CD4,BIN1
None,CD4,SCD5
None,CD4,CREB1
None,CD4,MYB
None,CD4,FOXP1
None,CD4,TBP
None,CD4,GFI1
None,CD4,TLX1
None,CD4,HDAC3
None,CD4,PAX2
None,CD4,KLF1
None,CD4,SLA2
None,CD4,BRCA2
None,CD4,COPS5
None,CD4,AHR
None,CD4,NFKB1
None,CD4,NFKBIA
None,CD4,MLLT3
None,CD4,HTATIP2
None,CD4,SNAI1
None,CD4,SMAD3
None,CD4,RORC
None,CD4,NAB2
None,CD4,SMAD2
None,CD4,HNF1A
None,CD4,TAL1
None,CD4,HDAC2
None,CD4,GFI1B
None,CD4,NCOR1
None,CD4,CREBBP
None,CD4,MECP2
None,CD4,ESR1
None,CD4,PARP1
None,CD4,XBP1
None,CD4,IRF1
None,CD4,EGF
None,CD4,VDR
None,CD4,AATF
None,CD4,SF1
None,CD4,ATOH1
None,CD4,HOXA10
None,CD4,NFATC1
None,CD4,PPARGC1A
None,CD4,RAD51
None,CD4,HLX
None,CD4,IRF4
None,CD4,NFKBIB
None,CD4,GATA3
None,CD4,STAT6
None,CD4,STAT5A
None,CD4,LMO2
None,CD4,FOXO3
None,CD4,EGR2
None,CD4,NFATC2
None,CD4,CIITA
None,CD4,ID2
None,CD4,SMAD7
None,CD4,KAT5
None,CD4,NF1
None,CD4,STAT1
None,CD4,SATB1
None,CD4,IRF8
None,CD4,STAT5B
None,CD4,TCF3
None,CD4,HOXA9
None,CD4,PIAS1
None,CD4,RUNX3
None,CD4,IRF7
None,CD4,EP300
None,CD4,LEF1
None,CD4,ATM
None,CD4,IKZF1
None,CD4,TCF7
None,CD4,LYL1
None,CD4,EOMES
None,CD4,RELB
None,CD4,ESR2
None,CD4,FOXO1
None,CD4,FOXP2
None,CD4,TP63
None,CD4,ABL1
None,CD4,PRDM2
None,CD4,IRF5
None,CD4,MDM2
None,CD4,ETS1
None,CD4,STAT3
None,CD4,TCF12
None,CD4,ZBTB16
None,CD4,CEBPA
None,CD4,OLIG2
None,CD4,IKBKB
None,CD4,FOXE1
None,CD4,RARB
None,CD4,SIRT2
None,CD4,REL
None,CD4,RELA
None,CD4,CEBPB
None,CD4,NR4A1
None,CD4,ZBTB7A
None,CD4,ETS2
None,CD4,BRCA1
None,CD4,AR
None,CD4,SPI1
None,CD4,NRF1
None,CD4,FOXC1
None,CD4,MEN1
None,CD4,CEBPD
None,CD4,ZEB1
None,CD4,CTNNB1
None,CD4,TFAP4
None,CD4,MYC
None,CD4,NPM1
None,CD4,HDAC1
None,CD4,SPIB
None,CD4,NELFCD
None,CD4,BCL6
None,CD4,APBB1
None,CD4,HOXA7
None,CD4,RARA
None,CD4,HIF1A
None,CD4,EWSR1
None,CD4,ASCL1
None,CD4,FOXO4
None,CD4,MLLT10
None,CD4,PRDM1
None,CD4,TCF7L2
None,CD4,KLF2
None,CD4,CEBPZ
None,CD4,ENO1
None,CD4,PPARG
None,CD4,FHL2
None,CD4,SRSF1
None,CD4,FOXM1
None,CD4,RBPJ
None,CD4,GATA2
None,CD4,PAX5
None,SCTR,FOS
None,SCTR,BTF3
None,SCTR,NFAT5
None,SCTR,TP53
None,SCTR,SP3
None,SCTR,HNF1A
None,SCTR,EGF
None,SCTR,TWIST2
None,SCTR,FOXO1
None,SCTR,TCF7L2
None,SCTR,EN1
None,RTN4R,NKX2-3
None,RTN4R,CNBP
None,RTN4R,MYB
None,RTN4R,MYBL2
None,RTN4R,SUPT3H
None,RTN4R,ID2
None,RTN4R,CDC5L
None,RTN4R,MEF2C
None,RTN4R,TCF3
None,RTN4R,ID4
None,RTN4R,OTX2
None,RTN4R,CRX
None,RTN4R,SOX10
None,RTN4R,TCF12
None,RTN4R,OLIG2
None,RTN4R,TBX5
None,RTN4R,CTNNB1
None,RTN4R,MYC
None,RTN4R,APBB1
None,RTN4R,ASCL1
None,RTN4R,NPAS3
None,RTN4R,JUN
None,RTN4R,MYCN
None,RTN4R,DDX5
None,RTN4R,PHOX2B
None,RTN4R,ID3
None,RTN4R,ID1
None,RTN4R,FOS
None,RTN4R,BPTF
None,RTN4R,TP53
None,RTN4R,CREB1
None,RTN4R,NKX2-5
None,RTN4R,HNRNPD
None,RTN4R,EGF
None,RTN4R,NRL
None,RTN4R,MYBL1
None,RTN4R,NF1
None,RTN4R,TCF4
None,RTN4R,SKIL
None,RTN4R,ESR2
None,RTN4R,STAT3
None,RTN4R,SPI1
None,RTN4R,RBL1
None,RTN4R,SNW1
None,RTN4R,E2F6
