ligand,receptor,TF
None,EPHA1,USF1
None,EPHA1,SIX1
None,EPHA1,MDM2
None,EPHA1,ETS1
None,EPHA1,STAT3
None,EPHA1,ISL1
None,EPHA1,HSF4
None,EPHA1,NR4A1
None,EPHA1,FOXC2
None,EPHA1,AR
None,EPHA1,FOXC1
None,EPHA1,NOTCH3
None,EPHA1,GLI1
None,EPHA1,SNAI2
None,EPHA1,SMURF2
None,EPHA1,ELF2
None,EPHA1,KAT2B
None,EPHA1,EZH2
None,EPHA1,NR4A2
None,EPHA1,HIF1A
None,EPHA1,FOXA3
None,EPHA1,ENO1
None,EPHA1,FOXG1
None,EPHA1,POU3F2
None,EPHA1,RBPJ
None,HTR2C,PPARD
None,HTR2C,NR3C1
None,HTR2C,FOS
None,HTR2C,CREB1
None,HTR2C,RB1
None,HTR2C,TFAP2B
None,HTR2C,AHR
None,HTR2C,ESRRG
None,HTR2C,MECP2
None,HTR2C,ESR1
None,HTR2C,TBL1X
None,HTR2C,PPARA
None,HTR2C,ZNF423
None,HTR2C,WT1
None,HTR2C,SOX2
None,HTR2C,SP100
None,HTR2C,OTX2
None,HTR2C,ESR2
None,HTR2C,MLX
None,HTR2C,PER2
None,HTR2C,LCOR
None,HTR2C,NR4A2
None,HTR2C,NPAS3
None,TNFRSF10B,STAT4
None,TNFRSF10B,JUN
None,TNFRSF10B,E2F1
None,TNFRSF10B,RB1CC1
None,TNFRSF10B,MYCN
None,TNFRSF10B,RUNX2
None,TNFRSF10B,NR3C1
None,TNFRSF10B,RARG
None,TNFRSF10B,NKX2-1
None,TNFRSF10B,HIPK2
None,TNFRSF10B,STAT2
None,TNFRSF10B,BTG2
None,TNFRSF10B,ID1
None,TNFRSF10B,GATA1
None,TNFRSF10B,DR1
None,TNFRSF10B,NFE2L2
None,TNFRSF10B,FOS
None,TNFRSF10B,TRAF6
None,TNFRSF10B,FOXP3
None,TNFRSF10B,XRCC6
None,TNFRSF10B,NFKB2
None,TNFRSF10B,E2F5
None,TNFRSF10B,MITF
None,TNFRSF10B,HIC1
None,TNFRSF10B,TNFAIP3
None,TNFRSF10B,RBL2
None,TNFRSF10B,IRF9
None,TNFRSF10B,TP53
None,TNFRSF10B,CREB1
None,TNFRSF10B,MYB
None,TNFRSF10B,TBP
None,TNFRSF10B,RB1
None,TNFRSF10B,HDAC3
None,TNFRSF10B,YY1
None,TNFRSF10B,BRCA2
None,TNFRSF10B,TRIB3
None,TNFRSF10B,E2F7
None,TNFRSF10B,AHR
None,TNFRSF10B,NR4A3
None,TNFRSF10B,NFKB1
None,TNFRSF10B,MDM4
None,TNFRSF10B,TFDP1
None,TNFRSF10B,NFKBIA
None,TNFRSF10B,NR1H4
None,TNFRSF10B,SP1
None,TNFRSF10B,E2F8
None,TNFRSF10B,SNAI1
None,TNFRSF10B,DAXX
None,TNFRSF10B,TP73
None,TNFRSF10B,E2F2
None,TNFRSF10B,ATF3
None,TNFRSF10B,HDAC2
None,TNFRSF10B,HNF4A
None,TNFRSF10B,NCOR1
None,TNFRSF10B,ESR1
None,TNFRSF10B,PARP1
None,TNFRSF10B,XBP1
None,TNFRSF10B,IRF1
None,TNFRSF10B,BACH2
None,TNFRSF10B,NCOA3
None,TNFRSF10B,EGF
None,TNFRSF10B,PTF1A
None,TNFRSF10B,VDR
None,TNFRSF10B,AATF
None,TNFRSF10B,NR2F1
None,TNFRSF10B,ATF4
None,TNFRSF10B,MZF1
None,TNFRSF10B,HOXB1
None,TNFRSF10B,NFKBIB
None,TNFRSF10B,NR2F2
None,TNFRSF10B,STAT5A
None,TNFRSF10B,CBFA2T3
None,TNFRSF10B,ETV4
None,TNFRSF10B,FOXO3
None,TNFRSF10B,CNOT8
None,TNFRSF10B,WT1
None,TNFRSF10B,HMGA2
None,TNFRSF10B,ID2
None,TNFRSF10B,DEDD
None,TNFRSF10B,NF1
None,TNFRSF10B,STAT1
None,TNFRSF10B,STAT5B
None,TNFRSF10B,E2F3
None,TNFRSF10B,EIF2AK2
None,TNFRSF10B,BCL3
None,TNFRSF10B,EHF
None,TNFRSF10B,SP100
None,TNFRSF10B,IRF7
None,TNFRSF10B,EP300
None,TNFRSF10B,ATM
None,TNFRSF10B,KCNIP3
None,TNFRSF10B,RXRA
None,TNFRSF10B,IRF3
None,TNFRSF10B,RELB
None,TNFRSF10B,ESR2
None,TNFRSF10B,FOXO1
None,TNFRSF10B,ABL1
None,TNFRSF10B,MDM2
None,TNFRSF10B,STAT3
None,TNFRSF10B,DNMT1
None,TNFRSF10B,CEBPA
None,TNFRSF10B,NR1I3
None,TNFRSF10B,ATF6
None,TNFRSF10B,IKBKB
None,TNFRSF10B,RARB
None,TNFRSF10B,NR1I2
None,TNFRSF10B,KLF6
None,TNFRSF10B,PGR
None,TNFRSF10B,SIRT2
None,TNFRSF10B,REL
None,TNFRSF10B,RELA
None,TNFRSF10B,CEBPB
None,TNFRSF10B,NR4A1
None,TNFRSF10B,BRCA1
None,TNFRSF10B,TRIM25
None,TNFRSF10B,AR
None,TNFRSF10B,SPI1
None,TNFRSF10B,SIRT1
None,TNFRSF10B,NCOA2
None,TNFRSF10B,GLI1
None,TNFRSF10B,ZEB1
None,TNFRSF10B,SNAI2
None,TNFRSF10B,CTNNB1
None,TNFRSF10B,CRABP2
None,TNFRSF10B,MYC
None,TNFRSF10B,EGR1
None,TNFRSF10B,HDAC1
None,TNFRSF10B,KAT2B
None,TNFRSF10B,EZH2
None,TNFRSF10B,RARA
None,TNFRSF10B,NR4A2
None,TNFRSF10B,HIF1A
None,TNFRSF10B,DDIT3
None,TNFRSF10B,NCOR2
None,TNFRSF10B,RBL1
None,TNFRSF10B,MLLT10
None,TNFRSF10B,DDB2
None,TNFRSF10B,E2F4
None,TNFRSF10B,PPARG
None,TNFRSF10B,FOXM1
None,TNFRSF10B,ING1
None,TNFRSF10B,E2F6
None,TNFRSF10B,HINFP
None,NTRK2,E2F1
None,NTRK2,NR3C2
None,NTRK2,JUND
None,NTRK2,MAF
None,NTRK2,NR3C1
None,NTRK2,APC
None,NTRK2,ARX
None,NTRK2,LMX1B
None,NTRK2,HIPK2
None,NTRK2,PAX3
None,NTRK2,TRAF6
None,NTRK2,SPEN
None,NTRK2,CRTC1
None,NTRK2,HIC1
None,NTRK2,SCD5
None,NTRK2,CREM
None,NTRK2,FOXD3
None,NTRK2,PAX2
None,NTRK2,TRIB3
None,NTRK2,SIN3A
None,NTRK2,NR0B2
None,NTRK2,KLF7
None,NTRK2,SNAI1
None,NTRK2,SMAD3
None,NTRK2,SMAD2
None,NTRK2,ATF3
None,NTRK2,ZIC1
None,NTRK2,HDAC2
None,NTRK2,MECP2
None,NTRK2,ESR1
None,NTRK2,PBX1
None,NTRK2,ATOH1
None,NTRK2,RAD51
None,NTRK2,GATA3
None,NTRK2,NR2F2
None,NTRK2,KLF4
None,NTRK2,ZNF423
None,NTRK2,WT1
None,NTRK2,PAX6
None,NTRK2,GLI3
None,NTRK2,STAT1
None,NTRK2,SATB2
None,NTRK2,MEF2D
None,NTRK2,STAT5B
None,NTRK2,MEF2C
None,NTRK2,ID4
None,NTRK2,RUNX3
None,NTRK2,BMI1
None,NTRK2,KCNIP3
None,NTRK2,LMO3
None,NTRK2,OTX2
None,NTRK2,FOXO1
None,NTRK2,POU3F4
None,NTRK2,ABL1
None,NTRK2,SOX10
None,NTRK2,REST
None,NTRK2,NFIC
None,NTRK2,OLIG2
None,NTRK2,NEUROD1
None,NTRK2,POU4F1
None,NTRK2,SIRT2
None,NTRK2,ZNF217
None,NTRK2,ZEB2
None,NTRK2,ETS2
None,NTRK2,SIRT1
None,NTRK2,CTNNB1
None,NTRK2,MEIS2
None,NTRK2,MYC
None,NTRK2,EGR1
None,NTRK2,HDAC1
None,NTRK2,LHX2
None,NTRK2,ZIC2
None,NTRK2,MEF2A
None,NTRK2,ARNTL
None,NTRK2,SMAD4
None,NTRK2,ASCL1
None,NTRK2,NPAS3
None,NTRK2,TCF7L2
None,NTRK2,PPARG
None,NTRK2,CTBP1
None,NTRK2,STAT4
None,NTRK2,JUN
None,NTRK2,HLF
None,NTRK2,MYCN
None,NTRK2,PHOX2B
None,NTRK2,NKX2-1
None,NTRK2,SOX9
None,NTRK2,FOS
None,NTRK2,THRA
None,NTRK2,SRF
None,NTRK2,SOX11
None,NTRK2,BPTF
None,NTRK2,PAX8
None,NTRK2,HDAC5
None,NTRK2,SHOX2
None,NTRK2,TBR1
None,NTRK2,KLF9
None,NTRK2,TP53
None,NTRK2,BIN1
None,NTRK2,CREB1
None,NTRK2,EGR3
None,NTRK2,SP3
None,NTRK2,YY1
None,NTRK2,BRCA2
None,NTRK2,ETV6
None,NTRK2,NR4A3
None,NTRK2,ETV1
None,NTRK2,NFKB1
None,NTRK2,PLAG1
None,NTRK2,CUX1
None,NTRK2,NFIB
None,NTRK2,CREBBP
None,NTRK2,BACH2
None,NTRK2,PURA
None,NTRK2,PITX3
None,NTRK2,EGF
None,NTRK2,EGR4
None,NTRK2,NR2F1
None,NTRK2,PROX1
None,NTRK2,FOSB
None,NTRK2,NR5A1
None,NTRK2,PPARGC1A
None,NTRK2,TWIST1
None,NTRK2,STAT5A
None,NTRK2,FOXO3
None,NTRK2,EGR2
None,NTRK2,CIITA
None,NTRK2,KLF5
None,NTRK2,SMAD7
None,NTRK2,GBX2
None,NTRK2,RORA
None,NTRK2,NF1
None,NTRK2,KLF3
None,NTRK2,SPIC
None,NTRK2,SOX2
None,NTRK2,EP300
None,NTRK2,HEY1
None,NTRK2,ESR2
None,NTRK2,FOXP2
None,NTRK2,SIX1
None,NTRK2,MDM2
None,NTRK2,DLX5
None,NTRK2,STAT3
None,NTRK2,ISL1
None,NTRK2,DNMT1
None,NTRK2,RARB
None,NTRK2,RUNX1T1
None,NTRK2,PGR
None,NTRK2,NR4A1
None,NTRK2,POU4F2
None,NTRK2,BRCA1
None,NTRK2,AR
None,NTRK2,HDAC4
None,NTRK2,FOXC1
None,NTRK2,NOTCH3
None,NTRK2,CEBPD
None,NTRK2,GLI1
None,NTRK2,ZEB1
None,NTRK2,SNAI2
None,NTRK2,THRB
None,NTRK2,NPM1
None,NTRK2,NPAS2
None,NTRK2,KAT2B
None,NTRK2,BHLHE41
None,NTRK2,EZH2
None,NTRK2,NR4A2
None,NTRK2,PLAGL2
None,NTRK2,HIF1A
None,NTRK2,ENO1
None,NTRK2,FOXG1
None,NTRK2,POU3F2
None,NTRK2,RBPJ
None,NOTCH1,PPARD
None,NOTCH1,AIRE
None,NOTCH1,E2F1
None,NOTCH1,NKX2-3
None,NOTCH1,HEYL
None,NOTCH1,HDGF
None,NOTCH1,ARNT
None,NOTCH1,ZFHX3
None,NOTCH1,NR3C2
None,NOTCH1,RB1CC1
None,NOTCH1,JUND
None,NOTCH1,MAF
None,NOTCH1,RUNX2
None,NOTCH1,NR3C1
None,NOTCH1,HES6
None,NOTCH1,DLX4
None,NOTCH1,APC
None,NOTCH1,YBX1
None,NOTCH1,NR2F6
None,NOTCH1,ARX
None,NOTCH1,LMX1B
None,NOTCH1,HIPK2
None,NOTCH1,ZFP36L1
None,NOTCH1,STAT2
None,NOTCH1,WWP1
None,NOTCH1,ZIC3
None,NOTCH1,GATA1
None,NOTCH1,HOXA5
None,NOTCH1,HAND2
None,NOTCH1,PBX2
None,NOTCH1,PAX3
None,NOTCH1,ATF2
None,NOTCH1,HHEX
None,NOTCH1,HIF3A
None,NOTCH1,MXI1
None,NOTCH1,MCM5
None,NOTCH1,HOXC8
None,NOTCH1,TBX20
None,NOTCH1,TRAF6
None,NOTCH1,PHF10
None,NOTCH1,NFAT5
None,NOTCH1,BATF
None,NOTCH1,SPEN
None,NOTCH1,POU2F1
None,NOTCH1,FOXI1
None,NOTCH1,ZHX2
None,NOTCH1,CRTC1
None,NOTCH1,RUNX1
None,NOTCH1,ONECUT1
None,NOTCH1,MED15
None,NOTCH1,TSG101
None,NOTCH1,SP7
None,NOTCH1,HIC1
None,NOTCH1,GABPA
None,NOTCH1,TNFAIP3
None,NOTCH1,RBL2
None,NOTCH1,FIGLA
None,NOTCH1,PTTG1
None,NOTCH1,FOXH1
None,NOTCH1,MKL1
None,NOTCH1,PCGF2
None,NOTCH1,CTCFL
None,NOTCH1,MYB
None,NOTCH1,NONO
None,NOTCH1,XRCC5
None,NOTCH1,LHX4
None,NOTCH1,MYBL2
None,NOTCH1,NR1D1
None,NOTCH1,CREM
None,NOTCH1,FOXD3
None,NOTCH1,POU2F3
None,NOTCH1,HDAC3
None,NOTCH1,ATRX
None,NOTCH1,ERF
None,NOTCH1,PAX2
None,NOTCH1,EED
None,NOTCH1,FLI1
None,NOTCH1,TRIB3
None,NOTCH1,E2F7
None,NOTCH1,COPS5
None,NOTCH1,CBX8
None,NOTCH1,AHR
None,NOTCH1,SMARCA1
None,NOTCH1,ESRRG
None,NOTCH1,NFKBIA
None,NOTCH1,MLLT3
None,NOTCH1,NR1H4
None,NOTCH1,SP1
None,NOTCH1,FOXQ1
None,NOTCH1,SIN3A
None,NOTCH1,E2F8
None,NOTCH1,EVX1
None,NOTCH1,ZNF24
None,NOTCH1,NANOG
None,NOTCH1,CTCF
None,NOTCH1,SNAI1
None,NOTCH1,SMAD3
None,NOTCH1,DAXX
None,NOTCH1,FOXF1
None,NOTCH1,RORC
None,NOTCH1,HOXC13
None,NOTCH1,MEF2B
None,NOTCH1,SMAD2
None,NOTCH1,DDB1
None,NOTCH1,DLX3
None,NOTCH1,HDAC11
None,NOTCH1,DMAP1
None,NOTCH1,ATF3
None,NOTCH1,ZIC1
None,NOTCH1,HDAC2
None,NOTCH1,MYF6
None,NOTCH1,GFI1B
None,NOTCH1,NCOR1
None,NOTCH1,MECP2
None,NOTCH1,ESR1
None,NOTCH1,IRF1
None,NOTCH1,PBX1
None,NOTCH1,ERCC2
None,NOTCH1,SREBF1
None,NOTCH1,NFIA
None,NOTCH1,KLF11
None,NOTCH1,NFIL3
None,NOTCH1,NUPR1
None,NOTCH1,ATOH1
None,NOTCH1,HOXA10
None,NOTCH1,ATF4
None,NOTCH1,ZNF143
None,NOTCH1,EPAS1
None,NOTCH1,SUZ12
None,NOTCH1,HOXB7
None,NOTCH1,RAD51
None,NOTCH1,IRF4
None,NOTCH1,NFKBIB
None,NOTCH1,GATA3
None,NOTCH1,HDAC10
None,NOTCH1,NR2F2
None,NOTCH1,CBFA2T3
None,NOTCH1,KLF4
None,NOTCH1,LMO2
None,NOTCH1,NFATC2
None,NOTCH1,ZNF423
None,NOTCH1,WT1
None,NOTCH1,ID2
None,NOTCH1,YEATS4
None,NOTCH1,TSC22D3
None,NOTCH1,NEUROG3
None,NOTCH1,ARID1A
None,NOTCH1,GCM2
None,NOTCH1,PAX6
None,NOTCH1,GLI3
None,NOTCH1,SFPQ
None,NOTCH1,ASH1L
None,NOTCH1,STAT1
None,NOTCH1,SATB2
None,NOTCH1,SP4
None,NOTCH1,MEF2D
None,NOTCH1,STAT5B
None,NOTCH1,MEF2C
None,NOTCH1,TCF3
None,NOTCH1,ID4
None,NOTCH1,FOXL2
None,NOTCH1,ELF3
None,NOTCH1,HOXA9
None,NOTCH1,PITX1
None,NOTCH1,PIAS1
None,NOTCH1,RUNX3
None,NOTCH1,BMI1
None,NOTCH1,ESRRB
None,NOTCH1,NCOA1
None,NOTCH1,ATM
None,NOTCH1,KCNIP3
None,NOTCH1,RXRA
None,NOTCH1,GATA5
None,NOTCH1,TGIF1
None,NOTCH1,HOXC6
None,NOTCH1,TCF7
None,NOTCH1,MTA2
None,NOTCH1,IRF3
None,NOTCH1,LMO3
None,NOTCH1,PITX2
None,NOTCH1,VHL
None,NOTCH1,OTX2
None,NOTCH1,HOXA4
None,NOTCH1,SIM2
None,NOTCH1,WWTR1
None,NOTCH1,FOXO1
None,NOTCH1,MSX1
None,NOTCH1,POU3F4
None,NOTCH1,ABL1
None,NOTCH1,CRX
None,NOTCH1,POU2AF1
None,NOTCH1,SOX10
None,NOTCH1,WHSC1
None,NOTCH1,HOXB4
None,NOTCH1,PDX1
None,NOTCH1,REST
None,NOTCH1,TCF12
None,NOTCH1,CHD4
None,NOTCH1,ZBTB16
None,NOTCH1,FOXN1
None,NOTCH1,NFIC
None,NOTCH1,PAX1
None,NOTCH1,OLIG2
None,NOTCH1,NFIX
None,NOTCH1,ATF6
None,NOTCH1,UTF1
None,NOTCH1,GTF2B
None,NOTCH1,NEUROD1
None,NOTCH1,ELK4
None,NOTCH1,LDB1
None,NOTCH1,KLF6
None,NOTCH1,POU4F1
None,NOTCH1,SIRT2
None,NOTCH1,OTX1
None,NOTCH1,REL
None,NOTCH1,TP53BP1
None,NOTCH1,ZNF217
None,NOTCH1,ZEB2
None,NOTCH1,SPDEF
None,NOTCH1,NFE2L1
None,NOTCH1,ETS2
None,NOTCH1,KLF12
None,NOTCH1,TBX5
None,NOTCH1,TBX3
None,NOTCH1,TSC22D1
None,NOTCH1,NR0B1
None,NOTCH1,NR5A2
None,NOTCH1,TEF
None,NOTCH1,SIRT1
None,NOTCH1,RFXANK
None,NOTCH1,NFYA
None,NOTCH1,TRIM28
None,NOTCH1,CTNNB1
None,NOTCH1,KLF8
None,NOTCH1,NCOA4
None,NOTCH1,GATA4
None,NOTCH1,ELF4
None,NOTCH1,SOX5
None,NOTCH1,MEIS2
None,NOTCH1,CRABP2
None,NOTCH1,PHOX2A
None,NOTCH1,MYC
None,NOTCH1,FUBP1
None,NOTCH1,EGR1
None,NOTCH1,HMGB2
None,NOTCH1,HDAC1
None,NOTCH1,NFE2
None,NOTCH1,LHX2
None,NOTCH1,SPIB
None,NOTCH1,ZIC2
None,NOTCH1,BCL6
None,NOTCH1,HNF1B
None,NOTCH1,APEX1
None,NOTCH1,APBB1
None,NOTCH1,MEF2A
None,NOTCH1,SALL4
None,NOTCH1,ARNTL
None,NOTCH1,SMAD4
None,NOTCH1,FOXJ1
None,NOTCH1,TFCP2
None,NOTCH1,RFX3
None,NOTCH1,EWSR1
None,NOTCH1,HOXD3
None,NOTCH1,ASCL1
None,NOTCH1,NCOR2
None,NOTCH1,ONECUT2
None,NOTCH1,ELL
None,NOTCH1,MTA1
None,NOTCH1,PRDM1
None,NOTCH1,HOPX
None,NOTCH1,JARID2
None,NOTCH1,RNF14
None,NOTCH1,TCF7L2
None,NOTCH1,KLF2
None,NOTCH1,E2F4
None,NOTCH1,EN1
None,NOTCH1,PPARG
None,NOTCH1,FHL2
None,NOTCH1,SRSF1
None,NOTCH1,FOXM1
None,NOTCH1,ING1
None,NOTCH1,CTBP1
None,NOTCH1,MSX2
None,NOTCH1,NR2E3
None,NOTCH1,STAT4
None,NOTCH1,JUN
None,NOTCH1,CHD8
None,NOTCH1,SETBP1
None,NOTCH1,FOSL1
None,NOTCH1,MYCN
None,NOTCH1,SSX2
None,NOTCH1,DDX5
None,NOTCH1,MEIS1
None,NOTCH1,ZFP36
None,NOTCH1,RARG
None,NOTCH1,TBX21
None,NOTCH1,FOXL1
None,NOTCH1,KLF10
None,NOTCH1,PHOX2B
None,NOTCH1,NKX2-1
None,NOTCH1,CITED2
None,NOTCH1,ID3
None,NOTCH1,BTG2
None,NOTCH1,TRRAP
None,NOTCH1,HOXB13
None,NOTCH1,ID1
None,NOTCH1,SOX9
None,NOTCH1,NFE2L2
None,NOTCH1,FOS
None,NOTCH1,THRA
None,NOTCH1,PAX4
None,NOTCH1,SRF
None,NOTCH1,MAFB
None,NOTCH1,SOX11
None,NOTCH1,BPTF
None,NOTCH1,PAX8
None,NOTCH1,HDAC5
None,NOTCH1,SHOX2
None,NOTCH1,FOXP3
None,NOTCH1,WDR5
None,NOTCH1,PIAS3
None,NOTCH1,TBR1
None,NOTCH1,USF2
None,NOTCH1,XRCC6
None,NOTCH1,NFKB2
None,NOTCH1,KLF9
None,NOTCH1,IRF2
None,NOTCH1,E2F5
None,NOTCH1,MITF
None,NOTCH1,HOXD1
None,NOTCH1,KDM4B
None,NOTCH1,DEK
None,NOTCH1,RFX2
None,NOTCH1,TP53
None,NOTCH1,BIN1
None,NOTCH1,E4F1
None,NOTCH1,CREB1
None,NOTCH1,FOXP1
None,NOTCH1,TBP
None,NOTCH1,RB1
None,NOTCH1,GFI1
None,NOTCH1,MAFK
None,NOTCH1,FOSL2
None,NOTCH1,TLX1
None,NOTCH1,DRAP1
None,NOTCH1,TFAP2B
None,NOTCH1,EGR3
None,NOTCH1,SP3
None,NOTCH1,KLF1
None,NOTCH1,NKX2-5
None,NOTCH1,SOX6
None,NOTCH1,YY1
None,NOTCH1,BRCA2
None,NOTCH1,ETV6
None,NOTCH1,LHX3
None,NOTCH1,NR4A3
None,NOTCH1,ETV1
None,NOTCH1,NFKB1
None,NOTCH1,MDM4
None,NOTCH1,TFDP1
None,NOTCH1,GSC
None,NOTCH1,HNRNPD
None,NOTCH1,VEZF1
None,NOTCH1,GATA6
None,NOTCH1,PLAG1
None,NOTCH1,ASXL1
None,NOTCH1,HTATIP2
None,NOTCH1,MED23
None,NOTCH1,HEY2
None,NOTCH1,MAML1
None,NOTCH1,KLF15
None,NOTCH1,HES1
None,NOTCH1,TP73
None,NOTCH1,JUNB
None,NOTCH1,RREB1
None,NOTCH1,KLF13
None,NOTCH1,HNF1A
None,NOTCH1,TAF1
None,NOTCH1,TLE3
None,NOTCH1,E2F2
None,NOTCH1,TAL1
None,NOTCH1,CUX1
None,NOTCH1,NFIB
None,NOTCH1,HNF4A
None,NOTCH1,CREBBP
None,NOTCH1,PARP1
None,NOTCH1,XBP1
None,NOTCH1,KAT6A
None,NOTCH1,MYOG
None,NOTCH1,GLI2
None,NOTCH1,BACH2
None,NOTCH1,MYOD1
None,NOTCH1,PITX3
None,NOTCH1,NCOA3
None,NOTCH1,EGF
None,NOTCH1,POU5F1
None,NOTCH1,PTF1A
None,NOTCH1,CEBPG
None,NOTCH1,BARD1
None,NOTCH1,VDR
None,NOTCH1,GRHL1
None,NOTCH1,NR2F1
None,NOTCH1,MCM2
None,NOTCH1,EBF1
None,NOTCH1,PROX1
None,NOTCH1,NRL
None,NOTCH1,TBL1X
None,NOTCH1,PPARA
None,NOTCH1,MZF1
None,NOTCH1,TWIST2
None,NOTCH1,FOSB
None,NOTCH1,LIN28A
None,NOTCH1,NR5A1
None,NOTCH1,NFATC1
None,NOTCH1,PPARGC1A
None,NOTCH1,NKX3-1
None,NOTCH1,HOXB1
None,NOTCH1,STAT6
None,NOTCH1,TWIST1
None,NOTCH1,STAT5A
None,NOTCH1,TFAP2C
None,NOTCH1,ETV4
None,NOTCH1,FOXO3
None,NOTCH1,MYBL1
None,NOTCH1,EGR2
None,NOTCH1,CIITA
None,NOTCH1,KLF5
None,NOTCH1,TRIP6
None,NOTCH1,UPF1
None,NOTCH1,HMGA2
None,NOTCH1,SMAD7
None,NOTCH1,CTNNBIP1
None,NOTCH1,KAT5
None,NOTCH1,GBX2
None,NOTCH1,EHMT2
None,NOTCH1,TEAD4
None,NOTCH1,RORA
None,NOTCH1,NF1
None,NOTCH1,KLF3
None,NOTCH1,TRPS1
None,NOTCH1,SOX17
None,NOTCH1,SATB1
None,NOTCH1,IRF8
None,NOTCH1,E2F3
None,NOTCH1,MAZ
None,NOTCH1,MYOCD
None,NOTCH1,SOX2
None,NOTCH1,TCF4
None,NOTCH1,BCL3
None,NOTCH1,SKIL
None,NOTCH1,EHF
None,NOTCH1,HDAC7
None,NOTCH1,PLAGL1
None,NOTCH1,IRF7
None,NOTCH1,NFATC3
None,NOTCH1,EP300
None,NOTCH1,PREB
None,NOTCH1,LEF1
None,NOTCH1,SRCAP
None,NOTCH1,SOX4
None,NOTCH1,TEAD1
None,NOTCH1,FOXA1
None,NOTCH1,FOXK2
None,NOTCH1,IKZF1
None,NOTCH1,ZBTB17
None,NOTCH1,LYL1
None,NOTCH1,HEY1
None,NOTCH1,EOMES
None,NOTCH1,KDM2A
None,NOTCH1,ING4
None,NOTCH1,DNMT3A
None,NOTCH1,RELB
None,NOTCH1,ESR2
None,NOTCH1,FOXP2
None,NOTCH1,TP63
None,NOTCH1,USF1
None,NOTCH1,PRDM2
None,NOTCH1,POU1F1
None,NOTCH1,SIX1
None,NOTCH1,MED1
None,NOTCH1,IRF5
None,NOTCH1,MDM2
None,NOTCH1,FOXN4
None,NOTCH1,ETS1
None,NOTCH1,DLX5
None,NOTCH1,TFDP3
None,NOTCH1,STAT3
None,NOTCH1,CDX2
None,NOTCH1,ISL1
None,NOTCH1,DNMT1
None,NOTCH1,CEBPA
None,NOTCH1,L3MBTL1
None,NOTCH1,HOXD13
None,NOTCH1,HSF4
None,NOTCH1,IKBKB
None,NOTCH1,FOXE1
None,NOTCH1,TFAP2A
None,NOTCH1,ETV3
None,NOTCH1,RARB
None,NOTCH1,RUNX1T1
None,NOTCH1,HOXA11
None,NOTCH1,POU3F1
None,NOTCH1,PGR
None,NOTCH1,GABPB1
None,NOTCH1,SMAD1
None,NOTCH1,HDAC9
None,NOTCH1,SIRT3
None,NOTCH1,RELA
None,NOTCH1,CEBPB
None,NOTCH1,NR4A1
None,NOTCH1,MLX
None,NOTCH1,POU4F2
None,NOTCH1,ZBTB7A
None,NOTCH1,LIMD1
None,NOTCH1,BRCA1
None,NOTCH1,FOXC2
None,NOTCH1,AR
None,NOTCH1,SPI1
None,NOTCH1,SMARCA4
None,NOTCH1,HDAC4
None,NOTCH1,FOXC1
None,NOTCH1,MEN1
None,NOTCH1,NCOA2
None,NOTCH1,NOTCH3
None,NOTCH1,CEBPD
None,NOTCH1,GLI1
None,NOTCH1,ZEB1
None,NOTCH1,CDX1
None,NOTCH1,PHF8
None,NOTCH1,DACH1
None,NOTCH1,SNAI2
None,NOTCH1,FUS
None,NOTCH1,THRB
None,NOTCH1,BCL11A
None,NOTCH1,NCOA6
None,NOTCH1,MAX
None,NOTCH1,NPM1
None,NOTCH1,SMURF2
None,NOTCH1,FOXF2
None,NOTCH1,POU2F2
None,NOTCH1,NELFCD
None,NOTCH1,KAT2B
None,NOTCH1,RFX5
None,NOTCH1,BHLHE41
None,NOTCH1,TFEB
None,NOTCH1,HOXA7
None,NOTCH1,IRF6
None,NOTCH1,EZH2
None,NOTCH1,RARA
None,NOTCH1,NR4A2
None,NOTCH1,PLAGL2
None,NOTCH1,PRDM14
None,NOTCH1,HIF1A
None,NOTCH1,DDIT3
None,NOTCH1,ETV5
None,NOTCH1,PML
None,NOTCH1,RBL1
None,NOTCH1,TBX2
None,NOTCH1,FOXO4
None,NOTCH1,MLLT10
None,NOTCH1,ANKRD1
None,NOTCH1,NR2C2
None,NOTCH1,SMARCB1
None,NOTCH1,FOXA3
None,NOTCH1,FOXA2
None,NOTCH1,UHRF1
None,NOTCH1,CEBPZ
None,NOTCH1,ENO1
None,NOTCH1,FOXG1
None,NOTCH1,SNW1
None,NOTCH1,POU3F2
None,NOTCH1,NKX2-2
None,NOTCH1,NFKBIZ
None,NOTCH1,RBBP7
None,NOTCH1,AES
None,NOTCH1,RBPJ
None,NOTCH1,E2F6
None,NOTCH1,GATA2
None,NOTCH1,PAX5
None,NOTCH1,ARID1B
None,NOTCH1,HCFC1
None,NOTCH1,SREBF2
None,NPFFR1,NR3C1
None,NPFFR1,FOS
None,NPFFR1,ESR1
None,NPFFR1,AR
None,NPFFR1,MLXIPL
None,LRRC4C,CNOT7
None,LRRC4C,ZIC3
None,LRRC4C,MYB
None,LRRC4C,MYBL2
None,LRRC4C,SUPT3H
None,LRRC4C,MECP2
None,LRRC4C,ZNF76
None,LRRC4C,PAX6
None,LRRC4C,CDC5L
None,LRRC4C,LMO3
None,LRRC4C,OTX1
None,LRRC4C,ZIC2
None,LRRC4C,NPAS3
None,LRRC4C,DDX5
None,LRRC4C,BPTF
None,LRRC4C,HNRNPD
