Receptor,TF,Source
EDAR,E2F1,scMLnet
EDAR,GLI3,scMLnet
EDAR,FOSL1,scMLnet
EDAR,TRPS1,scMLnet
EDAR,RUNX2,scMLnet
EDAR,SOX2,scMLnet
EDAR,TCF4,scMLnet
EDAR,PITX1,scMLnet
EDAR,BCL3,scMLnet
EDAR,PAX3,scMLnet
EDAR,LEF1,scMLnet
EDAR,SOX9,scMLnet
EDAR,ATM,scMLnet
EDAR,FOXA1,scMLnet
EDAR,FOS,scMLnet
EDAR,IKZF1,scMLnet
EDAR,TCF7,scMLnet
EDAR,IRF3,scMLnet
EDAR,LYL1,scMLnet
EDAR,PITX2,scMLnet
EDAR,RELB,scMLnet
EDAR,FOXP3,scMLnet
EDAR,FOXI1,scMLnet
EDAR,FOXP2,scMLnet
EDAR,MSX1,scMLnet
EDAR,TP63,scMLnet
EDAR,PIR,scMLnet
EDAR,NFKB2,scMLnet
EDAR,SOX10,scMLnet
EDAR,MITF,scMLnet
EDAR,HOXB4,scMLnet
EDAR,TNFAIP3,scMLnet
EDAR,TP53,scMLnet
EDAR,CREB1,scMLnet
EDAR,BRPF1,scMLnet
EDAR,FOXN1,scMLnet
EDAR,CEBPA,scMLnet
EDAR,PAX1,scMLnet
EDAR,IKBKB,scMLnet
EDAR,TFAP2B,scMLnet
EDAR,REL,scMLnet
EDAR,RELA,scMLnet
EDAR,NFKB1,scMLnet
EDAR,NFKBIA,scMLnet
EDAR,AR,scMLnet
EDAR,TBX3,scMLnet
EDAR,HOXC13,scMLnet
EDAR,SMAD2,scMLnet
EDAR,GLI1,scMLnet
EDAR,DLX3,scMLnet
EDAR,ZIC1,scMLnet
EDAR,CTNNB1,scMLnet
EDAR,HNF4A,scMLnet
EDAR,MYC,scMLnet
EDAR,NCOR1,scMLnet
EDAR,CREBBP,scMLnet
EDAR,ESR1,scMLnet
EDAR,GLI2,scMLnet
EDAR,HDAC1,scMLnet
EDAR,LHX2,scMLnet
EDAR,MYOD1,scMLnet
EDAR,ZIC2,scMLnet
EDAR,GLIS3,scMLnet
EDAR,EGF,scMLnet
EDAR,APBB1,scMLnet
EDAR,VDR,scMLnet
EDAR,SMAD4,scMLnet
EDAR,EBF1,scMLnet
EDAR,HIF1A,scMLnet
EDAR,EPAS1,scMLnet
EDAR,NR5A1,scMLnet
EDAR,TBX2,scMLnet
EDAR,NR2C2,scMLnet
EDAR,PRDM1,scMLnet
EDAR,NFKBIB,scMLnet
EDAR,TCF7L2,scMLnet
EDAR,KLF2,scMLnet
EDAR,FHL2,scMLnet
EDAR,MSX2,scMLnet
EDAR,PAX5,scMLnet
EDAR,KAT5,scMLnet
PLXNC1,LMX1B,scMLnet
PLXNC1,ATF3,scMLnet
PLXNC1,EGF,scMLnet
PLXNC1,CBFA2T3,scMLnet
PLXNC1,OTX2,scMLnet
PLXNC1,FOXP2,scMLnet
PLXNC1,ABL1,scMLnet
PLXNC1,RUNX1T1,scMLnet
PLXNC1,POU4F1,scMLnet
PLXNC1,POU4F2,scMLnet
PLXNC1,EBF3,scMLnet
PLXNC1,MYC,scMLnet
PLXNC1,HNF1B,scMLnet
PLXNC1,HIF1A,scMLnet
GABBR2,TBR1,scMLnet
GABBR2,CREB1,scMLnet
GABBR2,ZIC1,scMLnet
GABBR2,MECP2,scMLnet
GABBR2,EGF,scMLnet
GABBR2,ATF4,scMLnet
GABBR2,HOXB7,scMLnet
GABBR2,ATF5,scMLnet
GABBR2,PAX6,scMLnet
GABBR2,SFPQ,scMLnet
GABBR2,MEF2C,scMLnet
GABBR2,SOX2,scMLnet
GABBR2,LMO3,scMLnet
GABBR2,SEC14L2,scMLnet
GABBR2,OLIG2,scMLnet
GABBR2,NEUROD1,scMLnet
GABBR2,RUNX1T1,scMLnet
GABBR2,HDAC9,scMLnet
GABBR2,MYC,scMLnet
GABBR2,DDIT3,scMLnet
GABBR2,ASCL1,scMLnet
GABBR2,CEBPZ,scMLnet
GABBR2,FOXG1,scMLnet
HLA-F,NFYC,scMLnet
HLA-F,IFI16,scMLnet
HLA-F,TBX21,scMLnet
HLA-F,STAT2,scMLnet
HLA-F,FOXP3,scMLnet
HLA-F,ZNRD1,scMLnet
HLA-F,IRF2,scMLnet
HLA-F,IRF9,scMLnet
HLA-F,TP53,scMLnet
HLA-F,E4F1,scMLnet
HLA-F,HNRNPD,scMLnet
HLA-F,IRF1,scMLnet
HLA-F,TCF19,scMLnet
HLA-F,ETV7,scMLnet
HLA-F,IRF4,scMLnet
HLA-F,TRIM22,scMLnet
HLA-F,CIITA,scMLnet
HLA-F,NF1,scMLnet
HLA-F,STAT1,scMLnet
HLA-F,IRF8,scMLnet
HLA-F,SP100,scMLnet
HLA-F,IRF7,scMLnet
HLA-F,IRF3,scMLnet
HLA-F,IRF5,scMLnet
HLA-F,TRIM25,scMLnet
HLA-F,SPI1,scMLnet
HLA-F,EGR1,scMLnet
HLA-F,RFX5,scMLnet
HLA-F,IRF6,scMLnet
HLA-F,PML,scMLnet
TLR2,PPARD,scMLnet
TLR2,AIRE,scMLnet
TLR2,IFI16,scMLnet
TLR2,RB1CC1,scMLnet
TLR2,JUND,scMLnet
TLR2,MAF,scMLnet
TLR2,RUNX2,scMLnet
TLR2,NR3C1,scMLnet
TLR2,APC,scMLnet
TLR2,STAT2,scMLnet
TLR2,GATA1,scMLnet
TLR2,HAND2,scMLnet
TLR2,ATF2,scMLnet
TLR2,HHEX,scMLnet
TLR2,TRAF6,scMLnet
TLR2,NFAT5,scMLnet
TLR2,BATF,scMLnet
TLR2,POU2F1,scMLnet
TLR2,TSG101,scMLnet
TLR2,HIC1,scMLnet
TLR2,TNFAIP3,scMLnet
TLR2,IRF9,scMLnet
TLR2,MYB,scMLnet
TLR2,MYBL2,scMLnet
TLR2,CREM,scMLnet
TLR2,HDAC3,scMLnet
TLR2,SUPT3H,scMLnet
TLR2,TRIB3,scMLnet
TLR2,COPS5,scMLnet
TLR2,AHR,scMLnet
TLR2,NFKBIA,scMLnet
TLR2,NR1H4,scMLnet
TLR2,SP1,scMLnet
TLR2,NR0B2,scMLnet
TLR2,NANOG,scMLnet
TLR2,SNAI1,scMLnet
TLR2,SMAD3,scMLnet
TLR2,DAXX,scMLnet
TLR2,RORC,scMLnet
TLR2,SMAD2,scMLnet
TLR2,HDAC11,scMLnet
TLR2,ATF3,scMLnet
TLR2,HDAC2,scMLnet
TLR2,NCOR1,scMLnet
TLR2,ESR1,scMLnet
TLR2,IRF1,scMLnet
TLR2,SREBF1,scMLnet
TLR2,NR1H3,scMLnet
TLR2,NFIL3,scMLnet
TLR2,ATF4,scMLnet
TLR2,IRF4,scMLnet
TLR2,NFKBIB,scMLnet
TLR2,GATA3,scMLnet
TLR2,KLF4,scMLnet
TLR2,TRIM22,scMLnet
TLR2,NFATC2,scMLnet
TLR2,ZNF423,scMLnet
TLR2,WT1,scMLnet
TLR2,ID2,scMLnet
TLR2,TSC22D3,scMLnet
TLR2,GLI3,scMLnet
TLR2,CDC5L,scMLnet
TLR2,STAT1,scMLnet
TLR2,STAT5B,scMLnet
TLR2,MEF2C,scMLnet
TLR2,TCF3,scMLnet
TLR2,ELF3,scMLnet
TLR2,PIAS1,scMLnet
TLR2,RUNX3,scMLnet
TLR2,SP100,scMLnet
TLR2,NCOA1,scMLnet
TLR2,ATM,scMLnet
TLR2,RXRA,scMLnet
TLR2,IRF3,scMLnet
TLR2,FOXO1,scMLnet
TLR2,ABL1,scMLnet
TLR2,ZBTB16,scMLnet
TLR2,OLIG2,scMLnet
TLR2,ATF6,scMLnet
TLR2,GTF2B,scMLnet
TLR2,NR1I2,scMLnet
TLR2,SIRT2,scMLnet
TLR2,REL,scMLnet
TLR2,ZNF217,scMLnet
TLR2,ZEB2,scMLnet
TLR2,ETS2,scMLnet
TLR2,TSC22D1,scMLnet
TLR2,SIRT1,scMLnet
TLR2,CTNNB1,scMLnet
TLR2,MYC,scMLnet
TLR2,EGR1,scMLnet
TLR2,HMGB2,scMLnet
TLR2,HDAC1,scMLnet
TLR2,SPIB,scMLnet
TLR2,BCL6,scMLnet
TLR2,APBB1,scMLnet
TLR2,SMAD4,scMLnet
TLR2,NCOR2,scMLnet
TLR2,PRDM1,scMLnet
TLR2,HOPX,scMLnet
TLR2,KLF2,scMLnet
TLR2,E2F4,scMLnet
TLR2,PPARG,scMLnet
TLR2,SRSF1,scMLnet
TLR2,STAT4,scMLnet
TLR2,JUN,scMLnet
TLR2,FOSL1,scMLnet
TLR2,MYCN,scMLnet
TLR2,DDX5,scMLnet
TLR2,ZFP36,scMLnet
TLR2,TBX21,scMLnet
TLR2,NFE2L2,scMLnet
TLR2,FOS,scMLnet
TLR2,SRF,scMLnet
TLR2,MAFB,scMLnet
TLR2,PAX8,scMLnet
TLR2,FOXP3,scMLnet
TLR2,NFKB2,scMLnet
TLR2,IRF2,scMLnet
TLR2,TP53,scMLnet
TLR2,CREB1,scMLnet
TLR2,TBP,scMLnet
TLR2,FOSL2,scMLnet
TLR2,EGR3,scMLnet
TLR2,SP3,scMLnet
TLR2,NKX2-5,scMLnet
TLR2,YY1,scMLnet
TLR2,BRCA2,scMLnet
TLR2,ETV6,scMLnet
TLR2,NFKB1,scMLnet
TLR2,HNRNPD,scMLnet
TLR2,JUNB,scMLnet
TLR2,HNF4A,scMLnet
TLR2,CREBBP,scMLnet
TLR2,PARP1,scMLnet
TLR2,XBP1,scMLnet
TLR2,MYOD1,scMLnet
TLR2,EGF,scMLnet
TLR2,VDR,scMLnet
TLR2,AATF,scMLnet
TLR2,PPARA,scMLnet
TLR2,FOSB,scMLnet
TLR2,NFATC1,scMLnet
TLR2,PPARGC1A,scMLnet
TLR2,STAT6,scMLnet
TLR2,TWIST1,scMLnet
TLR2,STAT5A,scMLnet
TLR2,FOXO3,scMLnet
TLR2,MYBL1,scMLnet
TLR2,EGR2,scMLnet
TLR2,CIITA,scMLnet
TLR2,TRIP6,scMLnet
TLR2,HMGA2,scMLnet
TLR2,SMAD7,scMLnet
TLR2,KAT5,scMLnet
TLR2,RORA,scMLnet
TLR2,NF1,scMLnet
TLR2,IRF8,scMLnet
TLR2,E2F3,scMLnet
TLR2,EIF2AK2,scMLnet
TLR2,SOX2,scMLnet
TLR2,TCF4,scMLnet
TLR2,BCL3,scMLnet
TLR2,IRF7,scMLnet
TLR2,EP300,scMLnet
TLR2,LEF1,scMLnet
TLR2,IKZF1,scMLnet
TLR2,EOMES,scMLnet
TLR2,DNMT3A,scMLnet
TLR2,RELB,scMLnet
TLR2,MED1,scMLnet
TLR2,IRF5,scMLnet
TLR2,MDM2,scMLnet
TLR2,ETS1,scMLnet
TLR2,STAT3,scMLnet
TLR2,CDX2,scMLnet
TLR2,DNMT1,scMLnet
TLR2,CEBPA,scMLnet
TLR2,IKBKB,scMLnet
TLR2,PGR,scMLnet
TLR2,SMAD1,scMLnet
TLR2,SIRT3,scMLnet
TLR2,RELA,scMLnet
TLR2,CEBPB,scMLnet
TLR2,NR4A1,scMLnet
TLR2,TRIM25,scMLnet
TLR2,AR,scMLnet
TLR2,SPI1,scMLnet
TLR2,HDAC4,scMLnet
TLR2,MEN1,scMLnet
TLR2,CEBPD,scMLnet
TLR2,ZNF444,scMLnet
TLR2,ZEB1,scMLnet
TLR2,SNAI2,scMLnet
TLR2,NR1H2,scMLnet
TLR2,NCOA6,scMLnet
TLR2,MAX,scMLnet
TLR2,NELFCD,scMLnet
TLR2,TFEB,scMLnet
TLR2,IRF6,scMLnet
TLR2,PHB2,scMLnet
TLR2,EZH2,scMLnet
TLR2,NR4A2,scMLnet
TLR2,HIF1A,scMLnet
TLR2,DDIT3,scMLnet
TLR2,NR2C2,scMLnet
TLR2,ENO1,scMLnet
TLR2,SNW1,scMLnet
TLR2,NFKBIZ,scMLnet
TLR2,RBPJ,scMLnet
TLR2,GATA2,scMLnet
TLR2,LRRFIP1,scMLnet
TLR2,PAX5,scMLnet
TLR2,SREBF2,scMLnet
SORL1,MAF,scMLnet
SORL1,WWP1,scMLnet
SORL1,MCM5,scMLnet
SORL1,ATRX,scMLnet
SORL1,ZNF224,scMLnet
SORL1,SREBF1,scMLnet
SORL1,MEF2C,scMLnet
SORL1,MYC,scMLnet
SORL1,APBB1,scMLnet
SORL1,TFCP2,scMLnet
SORL1,PPARG,scMLnet
SORL1,BTF3,scMLnet
SORL1,BIN1,scMLnet
SORL1,ETV1,scMLnet
SORL1,CEBPA,scMLnet
SORL1,POU3F1,scMLnet
SORL1,NCOA2,scMLnet
SORL1,FUS,scMLnet
SORL1,SMURF2,scMLnet
ITGAV,STAT4,scMLnet
ITGAV,JUN,scMLnet
ITGAV,JUND,scMLnet
ITGAV,RUNX2,scMLnet
ITGAV,DDX5,scMLnet
ITGAV,ECD,scMLnet
ITGAV,TBX21,scMLnet
ITGAV,PBX2,scMLnet
ITGAV,SOX9,scMLnet
ITGAV,FOS,scMLnet
ITGAV,SRF,scMLnet
ITGAV,FOXP3,scMLnet
ITGAV,ONECUT1,scMLnet
ITGAV,TSG101,scMLnet
ITGAV,MITF,scMLnet
ITGAV,SP7,scMLnet
ITGAV,TP53,scMLnet
ITGAV,TBP,scMLnet
ITGAV,NFKB1,scMLnet
ITGAV,FOXQ1,scMLnet
ITGAV,NANOG,scMLnet
ITGAV,SNAI1,scMLnet
ITGAV,SMAD3,scMLnet
ITGAV,RORC,scMLnet
ITGAV,SMAD2,scMLnet
ITGAV,NCOR1,scMLnet
ITGAV,ESR1,scMLnet
ITGAV,EGF,scMLnet
ITGAV,POU5F1,scMLnet
ITGAV,VDR,scMLnet
ITGAV,NR1H3,scMLnet
ITGAV,PROX1,scMLnet
ITGAV,EPAS1,scMLnet
ITGAV,NFATC1,scMLnet
ITGAV,STAT6,scMLnet
ITGAV,TWIST1,scMLnet
ITGAV,KLF4,scMLnet
ITGAV,FOXO3,scMLnet
ITGAV,NFATC2,scMLnet
ITGAV,SMAD7,scMLnet
ITGAV,PAX6,scMLnet
ITGAV,GLI3,scMLnet
ITGAV,STAT1,scMLnet
ITGAV,SOX2,scMLnet
ITGAV,SKIL,scMLnet
ITGAV,EP300,scMLnet
ITGAV,RXRA,scMLnet
ITGAV,EOMES,scMLnet
ITGAV,POU2AF1,scMLnet
ITGAV,ETS1,scMLnet
ITGAV,STAT3,scMLnet
ITGAV,PGR,scMLnet
ITGAV,CEBPB,scMLnet
ITGAV,BRCA1,scMLnet
ITGAV,FOXC2,scMLnet
ITGAV,SPI1,scMLnet
ITGAV,NOTCH3,scMLnet
ITGAV,SNAI2,scMLnet
ITGAV,CTNNB1,scMLnet
ITGAV,NR1H2,scMLnet
ITGAV,MYC,scMLnet
ITGAV,EGR1,scMLnet
ITGAV,IRF6,scMLnet
ITGAV,SMAD4,scMLnet
ITGAV,HIF1A,scMLnet
ITGAV,HOXD3,scMLnet
ITGAV,NCOR2,scMLnet
ITGAV,HOPX,scMLnet
ITGAV,PPARG,scMLnet
ITGAV,AES,scMLnet
SLC40A1,MAF,scMLnet
SLC40A1,ID1,scMLnet
SLC40A1,GATA1,scMLnet
SLC40A1,NFE2L2,scMLnet
SLC40A1,USF2,scMLnet
SLC40A1,TP53,scMLnet
SLC40A1,HNF1A,scMLnet
SLC40A1,TAL1,scMLnet
SLC40A1,ATF4,scMLnet
SLC40A1,EPAS1,scMLnet
SLC40A1,LMO2,scMLnet
SLC40A1,ATF5,scMLnet
SLC40A1,SPIC,scMLnet
SLC40A1,STAT3,scMLnet
SLC40A1,CREG1,scMLnet
SLC40A1,SEC14L2,scMLnet
SLC40A1,CEBPA,scMLnet
SLC40A1,NFE2L1,scMLnet
SLC40A1,MTF1,scMLnet
SLC40A1,SMAD4,scMLnet
SLC40A1,HIF1A,scMLnet
SLC40A1,FOXM1,scMLnet
GUCY2C,APC,scMLnet
GUCY2C,ECD,scMLnet
GUCY2C,POLR1A,scMLnet
GUCY2C,ZNRD1,scMLnet
GUCY2C,SIN3A,scMLnet
GUCY2C,GCM2,scMLnet
GUCY2C,ATM,scMLnet
GUCY2C,KCNIP3,scMLnet
GUCY2C,NRF1,scMLnet
GUCY2C,SIRT1,scMLnet
GUCY2C,RFXANK,scMLnet
GUCY2C,MYC,scMLnet
GUCY2C,TP53,scMLnet
GUCY2C,HES1,scMLnet
GUCY2C,HNF4A,scMLnet
GUCY2C,EGF,scMLnet
GUCY2C,NF1,scMLnet
GUCY2C,CDX2,scMLnet
GUCY2C,CDX1,scMLnet
LRP6,MYCN,scMLnet
LRP6,RUNX2,scMLnet
LRP6,APC,scMLnet
LRP6,LMX1B,scMLnet
LRP6,PAX3,scMLnet
LRP6,SOX9,scMLnet
LRP6,FOS,scMLnet
LRP6,BTF3,scMLnet
LRP6,NFAT5,scMLnet
LRP6,MITF,scMLnet
LRP6,SP7,scMLnet
LRP6,TP53,scMLnet
LRP6,CREB1,scMLnet
LRP6,NR1D1,scMLnet
LRP6,ETV6,scMLnet
LRP6,ETV1,scMLnet
LRP6,GATA6,scMLnet
LRP6,NANOG,scMLnet
LRP6,SNAI1,scMLnet
LRP6,SMAD3,scMLnet
LRP6,SMAD2,scMLnet
LRP6,TLE3,scMLnet
LRP6,HDAC2,scMLnet
LRP6,HNF4A,scMLnet
LRP6,CREBBP,scMLnet
LRP6,ESR1,scMLnet
LRP6,SREBF1,scMLnet
LRP6,GLI2,scMLnet
LRP6,MYOD1,scMLnet
LRP6,PITX3,scMLnet
LRP6,EGF,scMLnet
LRP6,POU5F1,scMLnet
LRP6,TBL1X,scMLnet
LRP6,TWIST2,scMLnet
LRP6,NFATC1,scMLnet
LRP6,GATA3,scMLnet
LRP6,TWIST1,scMLnet
LRP6,KLF4,scMLnet
LRP6,FOXO3,scMLnet
LRP6,SMAD7,scMLnet
LRP6,KAT5,scMLnet
LRP6,GBX2,scMLnet
LRP6,RORA,scMLnet
LRP6,PAX6,scMLnet
LRP6,GLI3,scMLnet
LRP6,SOX17,scMLnet
LRP6,MEF2C,scMLnet
LRP6,E2F3,scMLnet
LRP6,SOX2,scMLnet
LRP6,TCF4,scMLnet
LRP6,BMI1,scMLnet
LRP6,EP300,scMLnet
LRP6,TEAD1,scMLnet
LRP6,PITX2,scMLnet
LRP6,OTX2,scMLnet
LRP6,FOXO1,scMLnet
LRP6,MSX1,scMLnet
LRP6,TP63,scMLnet
LRP6,ABL1,scMLnet
LRP6,HOXB4,scMLnet
LRP6,DLX5,scMLnet
LRP6,STAT3,scMLnet
LRP6,CDX2,scMLnet
LRP6,ELK4,scMLnet
LRP6,PGR,scMLnet
LRP6,BRCA1,scMLnet
LRP6,AR,scMLnet
LRP6,HDAC4,scMLnet
LRP6,NOTCH3,scMLnet
LRP6,GLI1,scMLnet
LRP6,ZEB1,scMLnet
LRP6,SNAI2,scMLnet
LRP6,GATA4,scMLnet
LRP6,SMURF2,scMLnet
LRP6,TFCP2L1,scMLnet
LRP6,APBB1,scMLnet
LRP6,MEF2A,scMLnet
LRP6,ARNTL,scMLnet
LRP6,SMAD4,scMLnet
LRP6,NR4A2,scMLnet
LRP6,TFCP2,scMLnet
LRP6,PML,scMLnet
LRP6,PPARG,scMLnet
LRP6,FOXM1,scMLnet
LRP6,AES,scMLnet
LRP6,RBPJ,scMLnet
LRP6,MSX2,scMLnet
TNFRSF13B,STAT4,scMLnet
TNFRSF13B,JUN,scMLnet
TNFRSF13B,MAF,scMLnet
TNFRSF13B,STAT1,scMLnet
TNFRSF13B,IRF8,scMLnet
TNFRSF13B,TCF3,scMLnet
TNFRSF13B,TBX21,scMLnet
TNFRSF13B,IRF7,scMLnet
TNFRSF13B,EP300,scMLnet
TNFRSF13B,PREB,scMLnet
TNFRSF13B,IKZF1,scMLnet
TNFRSF13B,TRAF6,scMLnet
TNFRSF13B,RELB,scMLnet
TNFRSF13B,BATF,scMLnet
TNFRSF13B,FOXP3,scMLnet
TNFRSF13B,POU2F1,scMLnet
TNFRSF13B,POU2AF1,scMLnet
TNFRSF13B,NFKB2,scMLnet
TNFRSF13B,IRF5,scMLnet
TNFRSF13B,TNFAIP3,scMLnet
TNFRSF13B,TP53,scMLnet
TNFRSF13B,STAT3,scMLnet
TNFRSF13B,CREB1,scMLnet
TNFRSF13B,IKBKB,scMLnet
TNFRSF13B,CREM,scMLnet
TNFRSF13B,NKX2-5,scMLnet
TNFRSF13B,REL,scMLnet
TNFRSF13B,RELA,scMLnet
TNFRSF13B,NFKB1,scMLnet
TNFRSF13B,SPI1,scMLnet
TNFRSF13B,ZEB1,scMLnet
TNFRSF13B,CTNNB1,scMLnet
TNFRSF13B,MYC,scMLnet
TNFRSF13B,CREBBP,scMLnet
TNFRSF13B,XBP1,scMLnet
TNFRSF13B,BACH2,scMLnet
TNFRSF13B,BCL6,scMLnet
TNFRSF13B,PRDM1,scMLnet
TNFRSF13B,IRF4,scMLnet
TNFRSF13B,STAT6,scMLnet
TNFRSF13B,STAT5A,scMLnet
TNFRSF13B,ENO1,scMLnet
TNFRSF13B,CIITA,scMLnet
TNFRSF13B,PAX5,scMLnet
TNFRSF13B,CDCA7L,scMLnet
SCARB1,PPARD,scMLnet
SCARB1,CREB3L4,scMLnet
SCARB1,JUN,scMLnet
SCARB1,NR3C1,scMLnet
SCARB1,TP53,scMLnet
SCARB1,CREB1,scMLnet
SCARB1,TRIB3,scMLnet
SCARB1,NR1H4,scMLnet
SCARB1,NR0B2,scMLnet
SCARB1,KLF14,scMLnet
SCARB1,ATF3,scMLnet
SCARB1,HNF4A,scMLnet
SCARB1,NCOR1,scMLnet
SCARB1,ESR1,scMLnet
SCARB1,XBP1,scMLnet
SCARB1,SREBF1,scMLnet
SCARB1,EGF,scMLnet
SCARB1,NR1H3,scMLnet
SCARB1,HMGA1,scMLnet
SCARB1,PPARA,scMLnet
SCARB1,EPAS1,scMLnet
SCARB1,NR5A1,scMLnet
SCARB1,PPARGC1A,scMLnet
SCARB1,HMGA2,scMLnet
SCARB1,STAT1,scMLnet
SCARB1,FOXL2,scMLnet
SCARB1,FOXA1,scMLnet
SCARB1,TGIF1,scMLnet
SCARB1,IRF3,scMLnet
SCARB1,ESR2,scMLnet
SCARB1,FOXO1,scMLnet
SCARB1,USF1,scMLnet
SCARB1,STAT3,scMLnet
SCARB1,SEC14L2,scMLnet
SCARB1,CEBPA,scMLnet
SCARB1,NR1I2,scMLnet
SCARB1,CEBPB,scMLnet
SCARB1,NR4A1,scMLnet
SCARB1,AR,scMLnet
SCARB1,NR0B1,scMLnet
SCARB1,NR5A2,scMLnet
SCARB1,SIRT1,scMLnet
SCARB1,CEBPD,scMLnet
SCARB1,CTNNB1,scMLnet
SCARB1,NR1H2,scMLnet
SCARB1,MYC,scMLnet
SCARB1,MLXIPL,scMLnet
SCARB1,CREB3,scMLnet
SCARB1,TCF7L2,scMLnet
SCARB1,ENO1,scMLnet
SCARB1,PPARG,scMLnet
SCARB1,FOXM1,scMLnet
SCARB1,SREBF2,scMLnet
PDGFRB,E2F1,scMLnet
PDGFRB,HEYL,scMLnet
PDGFRB,HDGF,scMLnet
PDGFRB,ZFHX3,scMLnet
PDGFRB,HSF1,scMLnet
PDGFRB,RUNX2,scMLnet
PDGFRB,NR3C1,scMLnet
PDGFRB,HAND2,scMLnet
PDGFRB,PAX3,scMLnet
PDGFRB,HHEX,scMLnet
PDGFRB,ZHX2,scMLnet
PDGFRB,SP7,scMLnet
PDGFRB,HIC1,scMLnet
PDGFRB,PTTG1,scMLnet
PDGFRB,FOXD3,scMLnet
PDGFRB,ATRX,scMLnet
PDGFRB,PAX2,scMLnet
PDGFRB,MLLT3,scMLnet
PDGFRB,SP1,scMLnet
PDGFRB,NR0B2,scMLnet
PDGFRB,ZNF24,scMLnet
PDGFRB,NANOG,scMLnet
PDGFRB,SNAI1,scMLnet
PDGFRB,SMAD3,scMLnet
PDGFRB,DAXX,scMLnet
PDGFRB,FOXF1,scMLnet
PDGFRB,RORC,scMLnet
PDGFRB,HOXC13,scMLnet
PDGFRB,SMAD2,scMLnet
PDGFRB,ATF3,scMLnet
PDGFRB,ZIC1,scMLnet
PDGFRB,HDAC2,scMLnet
PDGFRB,NCOR1,scMLnet
PDGFRB,ESR1,scMLnet
PDGFRB,PBX1,scMLnet
PDGFRB,TBC1D22A,scMLnet
PDGFRB,EPAS1,scMLnet
PDGFRB,RAD51,scMLnet
PDGFRB,ESRRA,scMLnet
PDGFRB,NFKBIB,scMLnet
PDGFRB,GATA3,scMLnet
PDGFRB,NR2F2,scMLnet
PDGFRB,CBFA2T3,scMLnet
PDGFRB,KLF4,scMLnet
PDGFRB,ZNF423,scMLnet
PDGFRB,WT1,scMLnet
PDGFRB,TSC22D3,scMLnet
PDGFRB,ARID1A,scMLnet
PDGFRB,PAX6,scMLnet
PDGFRB,GLI3,scMLnet
PDGFRB,MEF2C,scMLnet
PDGFRB,TCF3,scMLnet
PDGFRB,ID4,scMLnet
PDGFRB,FOXL2,scMLnet
PDGFRB,HOXA9,scMLnet
PDGFRB,PITX1,scMLnet
PDGFRB,BMI1,scMLnet
PDGFRB,ATM,scMLnet
PDGFRB,PITX2,scMLnet
PDGFRB,VHL,scMLnet
PDGFRB,OTX2,scMLnet
PDGFRB,WWTR1,scMLnet
PDGFRB,MSX1,scMLnet
PDGFRB,ABL1,scMLnet
PDGFRB,SOX10,scMLnet
PDGFRB,HOXB4,scMLnet
PDGFRB,ZBTB16,scMLnet
PDGFRB,FOXN1,scMLnet
PDGFRB,PAX1,scMLnet
PDGFRB,OLIG2,scMLnet
PDGFRB,NEUROD1,scMLnet
PDGFRB,OTX1,scMLnet
PDGFRB,ZEB2,scMLnet
PDGFRB,ETS2,scMLnet
PDGFRB,TBX5,scMLnet
PDGFRB,TBX3,scMLnet
PDGFRB,SIRT1,scMLnet
PDGFRB,NCOA4,scMLnet
PDGFRB,GATA4,scMLnet
PDGFRB,EGR1,scMLnet
PDGFRB,HDAC1,scMLnet
PDGFRB,APBB1,scMLnet
PDGFRB,SMAD4,scMLnet
PDGFRB,FOXJ1,scMLnet
PDGFRB,EWSR1,scMLnet
PDGFRB,ASCL1,scMLnet
PDGFRB,PPARG,scMLnet
PDGFRB,FOXM1,scMLnet
PDGFRB,CTBP1,scMLnet
PDGFRB,UBTF,scMLnet
PDGFRB,SETBP1,scMLnet
PDGFRB,FOSL1,scMLnet
PDGFRB,MYCN,scMLnet
PDGFRB,SSX2,scMLnet
PDGFRB,MEIS1,scMLnet
PDGFRB,TBX21,scMLnet
PDGFRB,PHOX2B,scMLnet
PDGFRB,NKX2-1,scMLnet
PDGFRB,ID1,scMLnet
PDGFRB,SOX9,scMLnet
PDGFRB,THRA,scMLnet
PDGFRB,SRF,scMLnet
PDGFRB,SOX11,scMLnet
PDGFRB,PAX8,scMLnet
PDGFRB,FOXP3,scMLnet
PDGFRB,USF2,scMLnet
PDGFRB,MITF,scMLnet
PDGFRB,FOXP1,scMLnet
PDGFRB,RB1,scMLnet
PDGFRB,EGR3,scMLnet
PDGFRB,NKX2-5,scMLnet
PDGFRB,SLA2,scMLnet
PDGFRB,BRCA2,scMLnet
PDGFRB,ETV6,scMLnet
PDGFRB,LHX3,scMLnet
PDGFRB,ETV1,scMLnet
PDGFRB,MDM4,scMLnet
PDGFRB,GATA6,scMLnet
PDGFRB,ASXL1,scMLnet
PDGFRB,HEY2,scMLnet
PDGFRB,MAML1,scMLnet
PDGFRB,TP73,scMLnet
PDGFRB,E2F2,scMLnet
PDGFRB,TAL1,scMLnet
PDGFRB,CUX1,scMLnet
PDGFRB,HNF4A,scMLnet
PDGFRB,PARP1,scMLnet
PDGFRB,XBP1,scMLnet
PDGFRB,KAT6A,scMLnet
PDGFRB,MYOG,scMLnet
PDGFRB,GLI2,scMLnet
PDGFRB,MYOD1,scMLnet
PDGFRB,PITX3,scMLnet
