Receptor,TF,Source
NOTCH1,SNW1,CellCall
NOTCH1,HEYL,CellCall
NOTCH2,MYC,CellCall
NOTCH2,NFKB2,CellCall
NOTCH2,SNW1,CellCall
NOTCH2,HEY1,CellCall
NOTCH2,HEY2,CellCall
NOTCH2,HEYL,CellCall
NOTCH2,HES5,CellCall
NOTCH3,HES1,CellCall
NOTCH3,MYC,CellCall
NOTCH3,NFKB2,CellCall
NOTCH3,SNW1,CellCall
NOTCH3,HEY1,CellCall
NOTCH3,HEY2,CellCall
NOTCH3,HEYL,CellCall
NOTCH3,TBX21,CellCall
NOTCH3,HES5,CellCall
NOTCH4,HES1,CellCall
NOTCH4,MYC,CellCall
NOTCH4,NFKB2,CellCall
NOTCH4,SNW1,CellCall
NOTCH4,HEY1,CellCall
NOTCH4,HEY2,CellCall
NOTCH4,HES5,CellCall
CLDN19,GATA4,CellCall
ERBB4,STAT5B,CellCall
ADCYAP1R1,CREB1,CellCall
ADCYAP1R1,CREBBP,CellCall
ADCYAP1R1,FOS,CellCall
ADCYAP1R1,GLI1,CellCall
ADCYAP1R1,GLI3,CellCall
ADCYAP1R1,JUN,CellCall
ADCYAP1R1,NFATC1,CellCall
ADCYAP1R1,NFKB1,CellCall
ADCYAP1R1,PPARA,CellCall
ADCYAP1R1,SOX9,CellCall
ADCYAP1R1,CREB5,CellCall
ADCYAP1R1,CREB3,CellCall
ADCYAP1R1,CREB3L2,CellCall
ADCYAP1R1,CREB3L3,CellCall
ADCYAP1R1,CREB3L1,CellCall
ADCYAP1R1,CREB3L4,CellCall
FSHR,CREB1,CellCall
FSHR,CREBBP,CellCall
FSHR,FOS,CellCall
FSHR,GLI1,CellCall
FSHR,GLI3,CellCall
FSHR,JUN,CellCall
FSHR,NFATC1,CellCall
FSHR,NFKB1,CellCall
FSHR,PPARA,CellCall
FSHR,SOX9,CellCall
FSHR,CREB5,CellCall
FSHR,CREB3,CellCall
FSHR,CREB3L2,CellCall
FSHR,CREB3L3,CellCall
FSHR,CREB3L1,CellCall
FSHR,CREB3L4,CellCall
LHCGR,CREB1,CellCall
LHCGR,CREBBP,CellCall
LHCGR,FOS,CellCall
LHCGR,GLI1,CellCall
LHCGR,GLI3,CellCall
LHCGR,JUN,CellCall
LHCGR,NFATC1,CellCall
LHCGR,NFKB1,CellCall
LHCGR,PPARA,CellCall
LHCGR,SOX9,CellCall
LHCGR,CREB5,CellCall
LHCGR,CREB3,CellCall
LHCGR,CREB3L2,CellCall
LHCGR,CREB3L3,CellCall
LHCGR,CREB3L1,CellCall
LHCGR,CREB3L4,CellCall
TSHR,ATF4,CellCall
TSHR,CREB1,CellCall
TSHR,ATF2,CellCall
TSHR,CREBBP,CellCall
TSHR,ATF6B,CellCall
TSHR,FOS,CellCall
TSHR,GLI1,CellCall
TSHR,GLI3,CellCall
TSHR,JUN,CellCall
TSHR,NFATC1,CellCall
TSHR,NFKB1,CellCall
TSHR,PPARA,CellCall
TSHR,SOX9,CellCall
TSHR,PAX8,CellCall
TSHR,TTF2,CellCall
TSHR,CREB5,CellCall
TSHR,CREB3,CellCall
TSHR,CREB3L2,CellCall
TSHR,CREB3L3,CellCall
TSHR,CREB3L1,CellCall
TSHR,CREB3L4,CellCall
IL10RB,MYC,CellCall
IL10RB,STAT1,CellCall
IL10RB,STAT2,CellCall
IL10RB,STAT3,CellCall
IL10RB,STAT4,CellCall
IL10RB,STAT5A,CellCall
IL10RB,STAT5B,CellCall
IL10RB,STAT6,CellCall
IL10RB,IRF9,CellCall
IL20RA,MYC,CellCall
IL20RA,STAT1,CellCall
IL20RA,STAT2,CellCall
IL20RA,STAT3,CellCall
IL20RA,STAT4,CellCall
IL20RA,STAT5A,CellCall
IL20RA,STAT5B,CellCall
IL20RA,STAT6,CellCall
IL20RA,IRF9,CellCall
IL20RB,MYC,CellCall
IL20RB,STAT1,CellCall
IL20RB,STAT2,CellCall
IL20RB,STAT3,CellCall
IL20RB,STAT4,CellCall
IL20RB,STAT5A,CellCall
IL20RB,STAT5B,CellCall
IL20RB,STAT6,CellCall
IL20RB,IRF9,CellCall
IL22RA1,MYC,CellCall
IL22RA1,STAT1,CellCall
IL22RA1,STAT2,CellCall
IL22RA1,STAT3,CellCall
IL22RA1,STAT4,CellCall
IL22RA1,STAT5A,CellCall
