complex,subunit,category
NRP1&PLXNA2,PLXNA2,Receptor
CRABP2&RXRA,CRABP2,Receptor
CRABP2&RXRA,RXRA,Receptor
CATSPER2&CATSPERD,CATSPER2,Receptor
CATSPER2&CATSPERD,CATSPERD,Receptor
CATSPER2&CATSPERB,CATSPER2,Receptor
CATSPER2&CATSPERB,CATSPERB,Receptor
CATSPER1&CATSPERD,CATSPER1,Receptor
CATSPER1&CATSPERD,CATSPERD,Receptor
CATSPER1&CATSPERB,CATSPER1,Receptor
CATSPER1&CATSPERB,CATSPERB,Receptor
TREM2&TYROBP,TREM2,Receptor
TREM2&TYROBP,TYROBP,Receptor
BSG&SLC16A1,BSG,Receptor
BSG&SLC16A1,SLC16A1,Receptor
FGFR4&KLB,FGFR4,Receptor
FGFR4&KLB,KLB,Receptor
ACVR1&TGFBR2,ACVR1,Receptor
ACVR1&TGFBR2,TGFBR2,Receptor
FLT1&KDR,FLT1,Receptor
FLT1&KDR,KDR,Receptor
ITGAX&ITGB2,ITGAX,Receptor
ITGAX&ITGB2,ITGB2,Receptor
CNTFR&IL6ST&LIFR,CNTFR,Receptor
CNTFR&IL6ST&LIFR,IL6ST,Receptor
CNTFR&IL6ST&LIFR,LIFR,Receptor
CRABP2&RARG&RXRG,CRABP2,Receptor
CRABP2&RARG&RXRG,RARG,Receptor
CRABP2&RARG&RXRG,RXRG,Receptor
CRABP2&RARG,CRABP2,Receptor
CRABP2&RARG,RARG,Receptor
CRABP2&RARB,CRABP2,Receptor
CRABP2&RARB,RARB,Receptor
CRABP2&RARA&RXRA,CRABP2,Receptor
CRABP2&RARA&RXRA,RARA,Receptor
CRABP2&RARA&RXRA,RXRA,Receptor
CRABP2&RARA,CRABP2,Receptor
CRABP2&RARA,RARA,Receptor
CATSPER4&CATSPERD,CATSPER4,Receptor
CATSPER4&CATSPERD,CATSPERD,Receptor
CATSPER3&CATSPERB,CATSPER3,Receptor
CATSPER3&CATSPERB,CATSPERB,Receptor
CRABP2&RXRB,CRABP2,Receptor
CRABP2&RXRB,RXRB,Receptor
CRABP2&RXRG,CRABP2,Receptor
CRABP2&RXRG,RXRG,Receptor
CATSPER4&CATSPERB,CATSPER4,Receptor
CATSPER4&CATSPERB,CATSPERB,Receptor
CATSPER3&CATSPERD,CATSPER3,Receptor
CATSPER3&CATSPERD,CATSPERD,Receptor
B2M&FCGRT,B2M,Receptor
B2M&FCGRT,FCGRT,Receptor
GP1BA&GP1BB,GP1BA,Receptor
GP1BA&GP1BB,GP1BB,Receptor
HCST&KLRK1,HCST,Receptor
HCST&KLRK1,KLRK1,Receptor
ACVR1B&BMPR1B&BMPR2,ACVR1B,Receptor
ACVR1B&BMPR1B&BMPR2,BMPR1B,Receptor
ACVR1B&BMPR1B&BMPR2,BMPR2,Receptor
AMHR2&BMPR1B,AMHR2,Receptor
AMHR2&BMPR1B,BMPR1B,Receptor
ACVR1B&ACVR2B&CFC1,ACVR1B,Receptor
ACVR1B&ACVR2B&CFC1,ACVR2B,Receptor
ACVR1B&ACVR2B&CFC1,CFC1,Receptor
BMPR1B&BMPR2,BMPR1B,Receptor
BMPR1B&BMPR2,BMPR2,Receptor
ACVR1B&ACVR2B&CRIPTO,ACVR1B,Receptor
ACVR1B&ACVR2B&CRIPTO,ACVR2B,Receptor
ACVR1B&ACVR2B&CRIPTO,CRIPTO,Receptor
BMPR1A&BMPR2,BMPR1A,Receptor
BMPR1A&BMPR2,BMPR2,Receptor
ACVR1&BMPR2,ACVR1,Receptor
ACVR1&BMPR2,BMPR2,Receptor
AMHR2&BMPR1A,AMHR2,Receptor
AMHR2&BMPR1A,BMPR1A,Receptor
ACVR1&AMHR2,ACVR1,Receptor
ACVR1&AMHR2,AMHR2,Receptor
ACVR2A&TGFBR1,ACVR2A,Receptor
ACVR2A&TGFBR1,TGFBR1,Receptor
ACVR2B&TGFBR1,ACVR2B,Receptor
ACVR2B&TGFBR1,TGFBR1,Receptor
NRP1&PLXNA3,NRP1,Receptor
NRP1&PLXNA3,PLXNA3,Receptor
NRP1&PLXNA4,NRP1,Receptor
NRP1&PLXNA4,PLXNA4,Receptor
PLXNA1&TREM2&TYROBP,PLXNA1,Receptor
PLXNA1&TREM2&TYROBP,TREM2,Receptor
PLXNA1&TREM2&TYROBP,TYROBP,Receptor
GPC3&IGF1R,GPC3,Receptor
GPC3&IGF1R,IGF1R,Receptor
NRP1&PLXNA1,NRP1,Receptor
NRP1&PLXNA1,PLXNA1,Receptor
ITGA11&ITGB1,ITGA11,Receptor
ITGA11&ITGB1,ITGB1,Receptor
ITGA10&ITGB1,ITGA10,Receptor
ITGA10&ITGB1,ITGB1,Receptor
ITGA4&ITGB7,ITGA4,Receptor
ITGA4&ITGB7,ITGB7,Receptor
ITGAE&ITGB7,ITGAE,Receptor
ITGAE&ITGB7,ITGB7,Receptor
SIRPB1&TYROBP,SIRPB1,Receptor
SIRPB1&TYROBP,TYROBP,Receptor
CRLF2&IL7R,CRLF2,Receptor
CRLF2&IL7R,IL7R,Receptor
ITGAL&ITGB2,ITGAL,Receptor
ITGAL&ITGB2,ITGB2,Receptor
CD63&ITGB1,CD63,Receptor
CD63&ITGB1,ITGB1,Receptor
ITGAD&ITGB2,ITGAD,Receptor
ITGAD&ITGB2,ITGB2,Receptor
ERBB2&ERBB4,ERBB2,Receptor
ERBB2&ERBB4,ERBB4,Receptor
ERBB2&ERBB3,ERBB2,Receptor
ERBB2&ERBB3,ERBB3,Receptor
GFRA3&RET,GFRA3,Receptor
GFRA3&RET,RET,Receptor
FGFR1&TGFBR3,FGFR1,Receptor
FGFR1&TGFBR3,TGFBR3,Receptor
GFRA1&RET,GFRA1,Receptor
GFRA1&RET,RET,Receptor
NRP2&PLXND1,NRP2,Receptor
NRP2&PLXND1,PLXND1,Receptor
CD47&ITGAV&ITGB3,CD47,Receptor
CD47&ITGAV&ITGB3,ITGAV,Receptor
CD47&ITGAV&ITGB3,ITGB3,Receptor
CALCRL&RAMP1,CALCRL,Receptor
CALCRL&RAMP1,RAMP1,Receptor
CALCRL&RAMP2,CALCRL,Receptor
CALCRL&RAMP2,RAMP2,Receptor
ADGRA2&FZD5&LRP6&RECK,ADGRA2,Receptor
ADGRA2&FZD5&LRP6&RECK,FZD5,Receptor
ADGRA2&FZD5&LRP6&RECK,LRP6,Receptor
ADGRA2&FZD5&LRP6&RECK,RECK,Receptor
ADGRA2&FZD5&LRP5&RECK,ADGRA2,Receptor
ADGRA2&FZD5&LRP5&RECK,FZD5,Receptor
ADGRA2&FZD5&LRP5&RECK,LRP5,Receptor
ADGRA2&FZD5&LRP5&RECK,RECK,Receptor
EGFR&FZD9&LRP5,EGFR,Receptor
EGFR&FZD9&LRP5,FZD9,Receptor
EGFR&FZD9&LRP5,LRP5,Receptor
NRP1&PLXNA1&PLXNA4,NRP1,Receptor
NRP1&PLXNA1&PLXNA4,PLXNA1,Receptor
NRP1&PLXNA1&PLXNA4,PLXNA4,Receptor
EGFR&FZD9&LRP6,EGFR,Receptor
EGFR&FZD9&LRP6,FZD9,Receptor
EGFR&FZD9&LRP6,LRP6,Receptor
BMPR2&TGFBR1,BMPR2,Receptor
BMPR2&TGFBR1,TGFBR1,Receptor
CNTFR&IL6ST,CNTFR,Receptor
CNTFR&IL6ST,IL6ST,Receptor
TGFBR1&TGFBR2,TGFBR1,Receptor
TGFBR1&TGFBR2,TGFBR2,Receptor
IL12RB2&IL6ST,IL12RB2,Receptor
IL12RB2&IL6ST,IL6ST,Receptor
IL18R1&SIGIRR,IL18R1,Receptor
IL18R1&SIGIRR,SIGIRR,Receptor
ACVR2B&ACVRL1,ACVR2B,Receptor
ACVR2B&ACVRL1,ACVRL1,Receptor
CSF2RB&EPOR,CSF2RB,Receptor
CSF2RB&EPOR,EPOR,Receptor
ACVR1&TGFBR1,ACVR1,Receptor
ACVR1&TGFBR1,TGFBR1,Receptor
IL12RB2&IL27RA,IL12RB2,Receptor
IL12RB2&IL27RA,IL27RA,Receptor
GFRA4&RET,GFRA4,Receptor
GFRA4&RET,RET,Receptor
GFRA2&RET,GFRA2,Receptor
GFRA2&RET,RET,Receptor
NRP1&PLXND1,NRP1,Receptor
NRP1&PLXND1,PLXND1,Receptor
CALCRL&RAMP3,CALCRL,Receptor
CALCRL&RAMP3,RAMP3,Receptor
NRP2&PLXNA2&PLXNA4,NRP2,Receptor
NRP2&PLXNA2&PLXNA4,PLXNA2,Receptor
NRP2&PLXNA2&PLXNA4,PLXNA4,Receptor
NRP1&PLXNA2&PLXNA4,NRP1,Receptor
NRP1&PLXNA2&PLXNA4,PLXNA2,Receptor
NRP1&PLXNA2&PLXNA4,PLXNA4,Receptor
PLXNA1&TREM2,PLXNA1,Receptor
PLXNA1&TREM2,TREM2,Receptor
CD8A&CD8B1,CD8A,Receptor
CD8A&CD8B1,CD8B1,Receptor
KLRC2&KLRD1,KLRC2,Receptor
KLRC2&KLRD1,KLRD1,Receptor
KLRC1&KLRD1,KLRC1,Receptor
KLRC1&KLRD1,KLRD1,Receptor
KLRC3&KLRD1,KLRC3,Receptor
KLRC3&KLRD1,KLRD1,Receptor
KDR&PLXNA1,KDR,Receptor
KDR&PLXNA1,PLXNA1,Receptor
CNGA4&CNGB1,CNGA4,Receptor
CNGA4&CNGB1,CNGB1,Receptor
CNGA2&CNGB1,CNGA2,Receptor
CNGA2&CNGB1,CNGB1,Receptor
ITGB7&VCAM1,ITGB7,Receptor
ITGB7&VCAM1,VCAM1,Receptor
CD44&ERBB2&EZR,CD44,Receptor
CD44&ERBB2&EZR,ERBB2,Receptor
CD44&ERBB2&EZR,EZR,Receptor
CNGA1&CNGB1,CNGA1,Receptor
CNGA1&CNGB1,CNGB1,Receptor
EGFR&ERBB2,EGFR,Receptor
EGFR&ERBB2,ERBB2,Receptor
CNTN2&CNTNAP2,CNTN2,Receptor
CNTN2&CNTNAP2,CNTNAP2,Receptor
IL10RB&IL20RA,IL10RB,Receptor
IL10RB&IL20RA,IL20RA,Receptor
CXCR4&TLR2,CXCR4,Receptor
CXCR4&TLR2,TLR2,Receptor
EGFR&ERBB4,EGFR,Receptor
EGFR&ERBB4,ERBB4,Receptor
CD74&CXCR2,CD74,Receptor
CD74&CXCR2,CXCR2,Receptor
ACVRL1&BMPR2,ACVRL1,Receptor
ACVRL1&BMPR2,BMPR2,Receptor
ACVR1C&TGFBR2,ACVR1C,Receptor
ACVR1C&TGFBR2,TGFBR2,Receptor
IL2RB&IL2RG,IL2RB,Receptor
IL2RB&IL2RG,IL2RG,Receptor
IL15RA&IL2RB,IL15RA,Receptor
IL15RA&IL2RB,IL2RB,Receptor
IL13RA2&IL4R,IL13RA2,Receptor
IL13RA2&IL4R,IL4R,Receptor
ACVR1B&TGFBR2,ACVR1B,Receptor
ACVR1B&TGFBR2,TGFBR2,Receptor
IL12RB1&IL23R,IL12RB1,Receptor
IL12RB1&IL23R,IL23R,Receptor
ACVR2A&ACVRL1,ACVR2A,Receptor
ACVR2A&ACVRL1,ACVRL1,Receptor
CD74&CXCR4,CD74,Receptor
CD74&CXCR4,CXCR4,Receptor
CD44&CD74,CD44,Receptor
CD44&CD74,CD74,Receptor
ACVR1B&BMPR2,ACVR1B,Receptor
ACVR1B&BMPR2,BMPR2,Receptor
IL20RB&IL22RA1,IL20RB,Receptor
IL20RB&IL22RA1,IL22RA1,Receptor
LTB&LTBR,LTB,Receptor
LTB&LTBR,LTBR,Receptor
IL27RA&IL6ST,IL27RA,Receptor
IL27RA&IL6ST,IL6ST,Receptor
ACVR1&TGFBR1&TGFBR2,ACVR1,Receptor
ACVR1&TGFBR1&TGFBR2,TGFBR1,Receptor
ACVR1&TGFBR1&TGFBR2,TGFBR2,Receptor
IL20RA&IL20RB&IL2RG,IL20RA,Receptor
IL20RA&IL20RB&IL2RG,IL20RB,Receptor
IL20RA&IL20RB&IL2RG,IL2RG,Receptor
PTCH2&SMO,PTCH2,Receptor
PTCH2&SMO,SMO,Receptor
PTCH1&SMO,PTCH1,Receptor
PTCH1&SMO,SMO,Receptor
NRP2&PLXNA4,NRP2,Receptor
NRP2&PLXNA4,PLXNA4,Receptor
CRLF2&IL7R&TSLP,CRLF2,Receptor
CRLF2&IL7R&TSLP,IL7R,Receptor
CRLF2&IL7R&TSLP,TSLP,Receptor
FLT4&KDR,FLT4,Receptor
FLT4&KDR,KDR,Receptor
ACVR1B&ACVR2B&TDGF1,ACVR1B,Receptor
ACVR1B&ACVR2B&TDGF1,ACVR2B,Receptor
ACVR1B&ACVR2B&TDGF1,TDGF1,Receptor
NRP2&PLXNA1,NRP2,Receptor
NRP2&PLXNA1,PLXNA1,Receptor
HFE&TFRC,HFE,Receptor
HFE&TFRC,TFRC,Receptor
NRP2&PLXNA2,NRP2,Receptor
NRP2&PLXNA2,PLXNA2,Receptor
IL18&IL18R1&IL18RAP,IL18,Receptor
IL18&IL18R1&IL18RAP,IL18R1,Receptor
IL18&IL18R1&IL18RAP,IL18RAP,Receptor
NRP2&PLXNA3,NRP2,Receptor
NRP2&PLXNA3,PLXNA3,Receptor
ACVR1C&ACVR2A&CFC1,ACVR1C,Receptor
ACVR1C&ACVR2A&CFC1,ACVR2A,Receptor
ACVR1C&ACVR2A&CFC1,CFC1,Receptor
NRP1&NRP2&PLXND1,NRP1,Receptor
NRP1&NRP2&PLXND1,NRP2,Receptor
NRP1&NRP2&PLXND1,PLXND1,Receptor
IL22&IL22RA1,IL22,Receptor
IL22&IL22RA1,IL22RA1,Receptor
IL13&IL13RA1&IL4R,IL13,Receptor
IL13&IL13RA1&IL4R,IL13RA1,Receptor
IL13&IL13RA1&IL4R,IL4R,Receptor
LGR5&LRP6,LGR5,Receptor
LGR5&LRP6,LRP6,Receptor
LGR4&LRP5,LGR4,Receptor
LGR4&LRP5,LRP5,Receptor
LGR4&LRP6,LGR4,Receptor
LGR4&LRP6,LRP6,Receptor
LGR5&LRP5,LGR5,Receptor
LGR5&LRP5,LRP5,Receptor
IFNL3&IFNLR1&IL10RB,IFNL3,Receptor
IFNL3&IFNLR1&IL10RB,IFNLR1,Receptor
IFNL3&IFNLR1&IL10RB,IL10RB,Receptor
CD8A&CD8B,CD8A,Receptor
CD8A&CD8B,CD8B,Receptor
IL6ST&LIFR,IL6ST,Receptor
IL6ST&LIFR,LIFR,Receptor
FPR2&FPR3,FPR2,Receptor
FPR2&FPR3,FPR3,Receptor
PIK3CA&PIK3R1,PIK3CA,Receptor
PIK3CA&PIK3R1,PIK3R1,Receptor
IL6ST&OSMR,IL6ST,Receptor
IL6ST&OSMR,OSMR,Receptor
IL11RA&IL6ST,IL11RA,Receptor
IL11RA&IL6ST,IL6ST,Receptor
IL6R&IL6ST,IL6R,Receptor
IL6R&IL6ST,IL6ST,Receptor
IL31RA&OSMR,IL31RA,Receptor
IL31RA&OSMR,OSMR,Receptor
IL13RA1&IL13RA2&IL4R,IL13RA1,Receptor
IL13RA1&IL13RA2&IL4R,IL13RA2,Receptor
IL13RA1&IL13RA2&IL4R,IL4R,Receptor
ACVR1C&ACVR2B&TDGF1,ACVR1C,Receptor
ACVR1C&ACVR2B&TDGF1,ACVR2B,Receptor
ACVR1C&ACVR2B&TDGF1,TDGF1,Receptor
ACVR1B&ACVR2A&TDGF1,ACVR1B,Receptor
ACVR1B&ACVR2A&TDGF1,ACVR2A,Receptor
ACVR1B&ACVR2A&TDGF1,TDGF1,Receptor
BMPR1A&BMPR1B&BMPR2,BMPR1A,Receptor
BMPR1A&BMPR1B&BMPR2,BMPR1B,Receptor
BMPR1A&BMPR1B&BMPR2,BMPR2,Receptor
ITGAV&ITGB2,ITGAV,Receptor
ITGAV&ITGB2,ITGB2,Receptor
JAK1&JAK2&TYK2,JAK1,Receptor
JAK1&JAK2&TYK2,JAK2,Receptor
JAK1&JAK2&TYK2,TYK2,Receptor
RIPK1&TRADD&TRAF2,RIPK1,Receptor
RIPK1&TRADD&TRAF2,TRADD,Receptor
RIPK1&TRADD&TRAF2,TRAF2,Receptor
MC2R&MRAP,MC2R,Receptor
MC2R&MRAP,MRAP,Receptor
CREBBP&EP300,CREBBP,Receptor
CREBBP&EP300,EP300,Receptor
IFNA2&IFNAR1&IFNAR2,IFNA2,Receptor
IFNA2&IFNAR1&IFNAR2,IFNAR1,Receptor
IFNA2&IFNAR1&IFNAR2,IFNAR2,Receptor
IFNG&IFNGR1,IFNG,Receptor
IFNG&IFNGR1,IFNGR1,Receptor
IL1B&IL1R2&IL1RAP,IL1B,Receptor
IL1B&IL1R2&IL1RAP,IL1R2,Receptor
IL1B&IL1R2&IL1RAP,IL1RAP,Receptor
IL1B&IL1R1&IL1RAP,IL1B,Receptor
IL1B&IL1R1&IL1RAP,IL1R1,Receptor
IL1B&IL1R1&IL1RAP,IL1RAP,Receptor
IL15&IL15RA&IL2RB&IL2RG,IL15,Receptor
IL15&IL15RA&IL2RB&IL2RG,IL15RA,Receptor
IL15&IL15RA&IL2RB&IL2RG,IL2RB,Receptor
IL15&IL15RA&IL2RB&IL2RG,IL2RG,Receptor
IL6&IL6R&IL6ST,IL6,Receptor
IL6&IL6R&IL6ST,IL6R,Receptor
IL6&IL6R&IL6ST,IL6ST,Receptor
IL2&IL2RA&IL2RB&IL2RG,IL2,Receptor
IL2&IL2RA&IL2RB&IL2RG,IL2RA,Receptor
IL2&IL2RA&IL2RB&IL2RG,IL2RB,Receptor
IL2&IL2RA&IL2RB&IL2RG,IL2RG,Receptor
CSF2&CSF2RA&CSF2RB,CSF2,Receptor
CSF2&CSF2RA&CSF2RB,CSF2RA,Receptor
CSF2&CSF2RA&CSF2RB,CSF2RB,Receptor
CNTFR&IL27RA&IL6ST,CNTFR,Receptor
CNTFR&IL27RA&IL6ST,IL27RA,Receptor
CNTFR&IL27RA&IL6ST,IL6ST,Receptor
MET&PLXNB3,MET,Receptor
MET&PLXNB3,PLXNB3,Receptor
IFNGR1&IFNGR2,IFNGR1,Receptor
IFNGR1&IFNGR2,IFNGR2,Receptor
CSF2RA&CSF2RB,CSF2RA,Receptor
CSF2RA&CSF2RB,CSF2RB,Receptor
JAK1&JAK2,JAK1,Receptor
JAK1&JAK2,JAK2,Receptor
EVC2&SMO,EVC2,Receptor
EVC2&SMO,SMO,Receptor
JAK1&TYK2,JAK1,Receptor
JAK1&TYK2,TYK2,Receptor
JAK2&TYK2,JAK2,Receptor
JAK2&TYK2,TYK2,Receptor
TRAF2&TRAF3,TRAF2,Receptor
TRAF2&TRAF3,TRAF3,Receptor
PTCH1&SHH,PTCH1,Receptor
PTCH1&SHH,SHH,Receptor
MYD88&TIRAP,MYD88,Receptor
MYD88&TIRAP,TIRAP,Receptor
HTR3A&HTR3B&HTR3C&HTR3D,HTR3A,Receptor
HTR3A&HTR3B&HTR3C&HTR3D,HTR3B,Receptor
HTR3A&HTR3B&HTR3C&HTR3D,HTR3C,Receptor
HTR3A&HTR3B&HTR3C&HTR3D,HTR3D,Receptor
CD247&CD3D&CD3E&CD3G&TRAC&TRBC1,CD247,Receptor
CD247&CD3D&CD3E&CD3G&TRAC&TRBC1,CD3D,Receptor
CD247&CD3D&CD3E&CD3G&TRAC&TRBC1,CD3E,Receptor
CD247&CD3D&CD3E&CD3G&TRAC&TRBC1,CD3G,Receptor
CD247&CD3D&CD3E&CD3G&TRAC&TRBC1,TRAC,Receptor
CD247&CD3D&CD3E&CD3G&TRAC&TRBC1,TRBC1,Receptor
CD247&CD3D&CD3E&CD3G,CD247,Receptor
CD247&CD3D&CD3E&CD3G,CD3D,Receptor
CD247&CD3D&CD3E&CD3G,CD3E,Receptor
CD247&CD3D&CD3E&CD3G,CD3G,Receptor
ERBB2&PLXNB1,ERBB2,Receptor
ERBB2&PLXNB1,PLXNB1,Receptor
MET&PLXNB1,MET,Receptor
MET&PLXNB1,PLXNB1,Receptor
LAMA3&LAMB3&LAMC2,LAMA3,Receptor
LAMA3&LAMB3&LAMC2,LAMB3,Receptor
LAMA3&LAMB3&LAMC2,LAMC2,Receptor
ITGAM&ITGB3,ITGAM,Receptor
ITGAM&ITGB3,ITGB3,Receptor
CALR&LRP1,CALR,Receptor
CALR&LRP1,LRP1,Receptor
DOK7&MUSK,DOK7,Receptor
DOK7&MUSK,MUSK,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,ACVR1B,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,ACVR1C,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,ACVR2A,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,ACVR2B,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,BMPR1A,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,BMPR1B,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,BMPR2,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B&BMPR1A&BMPR1B&BMPR2&TGFBR1,TGFBR1,Receptor
CALCR&RAMP3,CALCR,Receptor
CALCR&RAMP3,RAMP3,Receptor
ACVR1&AMHR2&BMPR1A&BMPR1B,ACVR1,Receptor
ACVR1&AMHR2&BMPR1A&BMPR1B,AMHR2,Receptor
ACVR1&AMHR2&BMPR1A&BMPR1B,BMPR1A,Receptor
ACVR1&AMHR2&BMPR1A&BMPR1B,BMPR1B,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B,ACVR1B,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B,ACVR1C,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B,ACVR2A,Receptor
ACVR1B&ACVR1C&ACVR2A&ACVR2B,ACVR2B,Receptor
CALCR&RAMP1,CALCR,Receptor
CALCR&RAMP1,RAMP1,Receptor
CALCR&RAMP2,CALCR,Receptor
CALCR&RAMP2,RAMP2,Receptor
ACVR1&ACVR2A&ACVR2B&ACVRL1&BMPR1A&BMPR1B&BMPR2,ACVR1,Receptor
ACVR1&ACVR2A&ACVR2B&ACVRL1&BMPR1A&BMPR1B&BMPR2,ACVR2A,Receptor
ACVR1&ACVR2A&ACVR2B&ACVRL1&BMPR1A&BMPR1B&BMPR2,ACVR2B,Receptor
ACVR1&ACVR2A&ACVR2B&ACVRL1&BMPR1A&BMPR1B&BMPR2,ACVRL1,Receptor
ACVR1&ACVR2A&ACVR2B&ACVRL1&BMPR1A&BMPR1B&BMPR2,BMPR1A,Receptor
ACVR1&ACVR2A&ACVR2B&ACVRL1&BMPR1A&BMPR1B&BMPR2,BMPR1B,Receptor
ACVR1&ACVR2A&ACVR2B&ACVRL1&BMPR1A&BMPR1B&BMPR2,BMPR2,Receptor
IFNLR1&IL10RB,IFNLR1,Receptor
IFNLR1&IL10RB,IL10RB,Receptor
IL10RA&IL10RB,IL10RA,Receptor
IL10RA&IL10RB,IL10RB,Receptor
IL2RA&IL2RB&IL2RG,IL2RA,Receptor
IL2RA&IL2RB&IL2RG,IL2RB,Receptor
IL2RA&IL2RB&IL2RG,IL2RG,Receptor
IL15RA&IL2RB&IL2RG,IL15RA,Receptor
IL15RA&IL2RB&IL2RG,IL2RB,Receptor
IL15RA&IL2RB&IL2RG,IL2RG,Receptor
IL17RA&IL17RE,IL17RA,Receptor
IL17RA&IL17RE,IL17RE,Receptor
IL18R1&IL18RAP,IL18R1,Receptor
IL18R1&IL18RAP,IL18RAP,Receptor
IL1R1&IL1RAP,IL1R1,Receptor
IL1R1&IL1RAP,IL1RAP,Receptor
IL20RA&IL20RB,IL20RA,Receptor
IL20RA&IL20RB,IL20RB,Receptor
IL21R&IL2RG,IL21R,Receptor
IL21R&IL2RG,IL2RG,Receptor
IL10RB&IL22RA1,IL10RB,Receptor
IL10RB&IL22RA1,IL22RA1,Receptor
CSF2RB&IL3RA,CSF2RB,Receptor
CSF2RB&IL3RA,IL3RA,Receptor
IL2RG&IL4R,IL2RG,Receptor
IL2RG&IL4R,IL4R,Receptor
IL13RA1&IL4R,IL13RA1,Receptor
IL13RA1&IL4R,IL4R,Receptor
IL1RAP&IL1RL1,IL1RAP,Receptor
IL1RAP&IL1RL1,IL1RL1,Receptor
IL2RG&IL9R,IL2RG,Receptor
IL2RG&IL9R,IL9R,Receptor
IL2RG&IL7R,IL2RG,Receptor
IL2RG&IL7R,IL7R,Receptor
CSF2RB&IL5RA,CSF2RB,Receptor
CSF2RB&IL5RA,IL5RA,Receptor
TGFBR1&TGFBR2&TGFBR3,TGFBR1,Receptor
TGFBR1&TGFBR2&TGFBR3,TGFBR2,Receptor
TGFBR1&TGFBR2&TGFBR3,TGFBR3,Receptor
IL17RA&IL17RB,IL17RA,Receptor
IL17RA&IL17RB,IL17RB,Receptor
