complex,subunit,category
GLS&SLC17A6,SLC17A6,Ligand
ITGAV&ITGB1,ITGAV,Ligand
ITGAV&ITGB1,ITGB1,Ligand
GAD1&SLC6A11,GAD1,Ligand
GAD1&SLC6A11,SLC6A11,Ligand
DDC&SLC6A3,DDC,Ligand
DDC&SLC6A3,SLC6A3,Ligand
DDC&SLC18A1,DDC,Ligand
DDC&SLC18A1,SLC18A1,Ligand
SLC6A4&TPH2,SLC6A4,Ligand
SLC6A4&TPH2,TPH2,Ligand
GPHA2&GPHB5,GPHA2,Ligand
GPHA2&GPHB5,GPHB5,Ligand
FGA&FGB&FGG,FGA,Ligand
FGA&FGB&FGG,FGB,Ligand
FGA&FGB&FGG,FGG,Ligand
GGT1&GGT5,GGT1,Ligand
GGT1&GGT5,GGT5,Ligand
FLRT3&TENM4,FLRT3,Ligand
FLRT3&TENM4,TENM4,Ligand
ALOX5&ALOX5AP&LTC4S,ALOX5,Ligand
ALOX5&ALOX5AP&LTC4S,ALOX5AP,Ligand
ALOX5&ALOX5AP&LTC4S,LTC4S,Ligand
DIO3&TG,DIO3,Ligand
DIO3&TG,TG,Ligand
CYP11A1&FDX1&FDX2&FDXR,CYP11A1,Ligand
CYP11A1&FDX1&FDX2&FDXR,FDX1,Ligand
CYP11A1&FDX1&FDX2&FDXR,FDX2,Ligand
CYP11A1&FDX1&FDX2&FDXR,FDXR,Ligand
BMP15&GDF2,BMP15,Ligand
BMP15&GDF2,GDF2,Ligand
DDC&SLC18A2,DDC,Ligand
DDC&SLC18A2,SLC18A2,Ligand
SLC18A1&TPH2,SLC18A1,Ligand
SLC18A1&TPH2,TPH2,Ligand
CCL3L1&CCL3L3,CCL3L1,Ligand
CCL3L1&CCL3L3,CCL3L3,Ligand
BMPR1B&BMPR2,BMPR1B,Ligand
BMPR1B&BMPR2,BMPR2,Ligand
ITGAV&ITGB5,ITGAV,Ligand
ITGAV&ITGB5,ITGB5,Ligand
ITGA5&ITGB1,ITGA5,Ligand
ITGA5&ITGB1,ITGB1,Ligand
FLRT2&UNC5D,FLRT2,Ligand
FLRT2&UNC5D,UNC5D,Ligand
LTA&LTB,LTA,Ligand
LTA&LTB,LTB,Ligand
CLCF1&CRLF1,CLCF1,Ligand
CLCF1&CRLF1,CRLF1,Ligand
EBI3&IL12A,EBI3,Ligand
EBI3&IL12A,IL12A,Ligand
MMP9&TIMP1,MMP9,Ligand
MMP9&TIMP1,TIMP1,Ligand
CSF1&IL34,CSF1,Ligand
CSF1&IL34,IL34,Ligand
IL12A&IL27,IL12A,Ligand
IL12A&IL27,IL27,Ligand
BMP15&GDF9,BMP15,Ligand
BMP15&GDF9,GDF9,Ligand
IGHG1&IGLC1,IGHG1,Ligand
IGHG1&IGLC1,IGLC1,Ligand
GP5&GP9,GP5,Ligand
GP5&GP9,GP9,Ligand
ITGAD&ITGB2,ITGAD,Ligand
ITGAD&ITGB2,ITGB2,Ligand
F8&F9,F8,Ligand
F8&F9,F9,Ligand
