complex,category,subunit
GP1BA&GP1BB,Receptor,GP1BA
GP1BA&GP1BB,Receptor,GP1BB
CNTFR&IL6ST,Receptor,CNTFR
CNTFR&IL6ST,Receptor,IL6ST
ACVR1B&ACVR2A,Receptor,ACVR1B
ACVR1B&ACVR2A,Receptor,ACVR2A
ACVR1&ACVR2A,Receptor,ACVR1
ACVR1&ACVR2A,Receptor,ACVR2A
ACVR1C&ACVR2A,Receptor,ACVR1C
ACVR1C&ACVR2A,Receptor,ACVR2A
ACVR1B&ACVR2B,Receptor,ACVR1B
ACVR1B&ACVR2B,Receptor,ACVR2B
ACVR1&ACVR2B,Receptor,ACVR1
ACVR1&ACVR2B,Receptor,ACVR2B
ACVR1C&ACVR2B,Receptor,ACVR1C
ACVR1C&ACVR2B,Receptor,ACVR2B
IL12RB1&IL12RB2,Receptor,IL12RB1
IL12RB1&IL12RB2,Receptor,IL12RB2
IL12RB2&IL6ST,Receptor,IL12RB2
IL12RB2&IL6ST,Receptor,IL6ST
IL12RB2&IL27RA,Receptor,IL12RB2
IL12RB2&IL27RA,Receptor,IL27RA
IL12RB1&IL23R,Receptor,IL12RB1
IL12RB1&IL23R,Receptor,IL23R
IL27RA&IL6ST,Receptor,IL27RA
IL27RA&IL6ST,Receptor,IL6ST
IL17RA&IL17RC,Receptor,IL17RA
IL17RA&IL17RC,Receptor,IL17RC
FZD9&LRP5,Receptor,FZD9
FZD9&LRP5,Receptor,LRP5
FZD9&LRP6,Receptor,FZD9
FZD9&LRP6,Receptor,LRP6
FZD6&LRP5,Receptor,FZD6
FZD6&LRP5,Receptor,LRP5
FZD6&LRP6,Receptor,FZD6
FZD6&LRP6,Receptor,LRP6
FZD7&LRP5,Receptor,FZD7
FZD7&LRP5,Receptor,LRP5
FZD7&LRP6,Receptor,FZD7
FZD7&LRP6,Receptor,LRP6
FZD5&LRP5,Receptor,FZD5
FZD5&LRP5,Receptor,LRP5
FZD2&LRP5,Receptor,FZD2
FZD2&LRP5,Receptor,LRP5
FZD8&LRP5,Receptor,FZD8
FZD8&LRP5,Receptor,LRP5
FZD3&LRP5,Receptor,FZD3
FZD3&LRP5,Receptor,LRP5
FZD4&LRP5,Receptor,FZD4
FZD4&LRP5,Receptor,LRP5
FZD10&LRP5,Receptor,FZD10
FZD10&LRP5,Receptor,LRP5
FZD1&LRP5,Receptor,FZD1
FZD1&LRP5,Receptor,LRP5
FZD5&LRP6,Receptor,FZD5
FZD5&LRP6,Receptor,LRP6
FZD2&LRP6,Receptor,FZD2
FZD2&LRP6,Receptor,LRP6
FZD8&LRP6,Receptor,FZD8
FZD8&LRP6,Receptor,LRP6
FZD3&LRP6,Receptor,FZD3
FZD3&LRP6,Receptor,LRP6
FZD4&LRP6,Receptor,FZD4
FZD4&LRP6,Receptor,LRP6
FZD10&LRP6,Receptor,FZD10
FZD10&LRP6,Receptor,LRP6
FZD1&LRP6,Receptor,FZD1
FZD1&LRP6,Receptor,LRP6
ACVR2A&TGFBR1,Receptor,ACVR2A
ACVR2A&TGFBR1,Receptor,TGFBR1
ACVR2B&TGFBR1,Receptor,ACVR2B
ACVR2B&TGFBR1,Receptor,TGFBR1
PTCH1&SMO,Receptor,PTCH1
PTCH1&SMO,Receptor,SMO
PTCH2&SMO,Receptor,PTCH2
PTCH2&SMO,Receptor,SMO
FLT4&KDR,Receptor,FLT4
FLT4&KDR,Receptor,KDR
ACVR1B&BMPR2,Receptor,ACVR1B
ACVR1B&BMPR2,Receptor,BMPR2
BMPR2&TGFBR1,Receptor,BMPR2
BMPR2&TGFBR1,Receptor,TGFBR1
GFRA4&RET,Receptor,GFRA4
GFRA4&RET,Receptor,RET
NRP2&PLXNA2,Receptor,NRP2
NRP2&PLXNA2,Receptor,PLXNA2
NRP2&PLXNA3,Receptor,NRP2
NRP2&PLXNA3,Receptor,PLXNA3
NRP2&PLXNA4,Receptor,NRP2
NRP2&PLXNA4,Receptor,PLXNA4
NRP2&PLXNA1,Receptor,NRP2
NRP2&PLXNA1,Receptor,PLXNA1
ACVR2A&ACVRL1,Receptor,ACVR2A
ACVR2A&ACVRL1,Receptor,ACVRL1
ACVR2B&ACVRL1,Receptor,ACVR2B
ACVR2B&ACVRL1,Receptor,ACVRL1
ACVRL1&BMPR2,Receptor,ACVRL1
ACVRL1&BMPR2,Receptor,BMPR2
IL1RAP&IL1RL1,Receptor,IL1RAP
IL1RAP&IL1RL1,Receptor,IL1RL1
PDGFRA&PDGFRB,Receptor,PDGFRA
PDGFRA&PDGFRB,Receptor,PDGFRB
IFNAR1&IFNAR2,Receptor,IFNAR1
